idx,formula,a_site,regime,er_measured,pred_original,perm_mean,perm_std,perm_delta
0,Ca0.8Sr0.2SnO3,Ca,III,8.5,18.425823,18.42072425842285,0.03854363672223899,-0.005098953247070881
1,CaTi0.53Al0.235Nb0.235O3,Ca,II,49.8,48.21366,47.17023971557617,1.7773776003762405,-1.0434214782714832
2,CaTi0.5Al0.25Nb0.25O3,Ca,II,48.0,45.933407,44.90684196472168,1.5211016405470872,-1.0265648651123058
3,CaTi0.4Al0.3Nb0.3O3,Ca,II,41.3,39.77038,39.080523376464846,1.0186678948334087,-0.6898547363281224
4,CaTi0.3Al0.35Nb0.35O3,Ca,II,36.8,35.044006,34.152418518066405,0.8915911887369434,-0.8915878295898452
5,CaTi0.7Al0.15Nb0.15O3,Ca,II,65.4,66.03942,64.29987457275391,2.741799094433272,-1.7395465087890614
6,CaTi0.6Al0.2Nb0.2O3,Ca,II,54.3,54.737343,53.32276039123535,2.148824551526328,-1.4145824432373075
7,CaTi0.53Al0.235Nb0.235O3,Ca,II,48.5,48.266804,47.06307151794434,1.7375098747067548,-1.203732223510741
8,CaTi0.5Al0.25Nb0.25O3,Ca,II,48.1,45.953957,44.778778610229494,1.6499160201466394,-1.1751779937744118
9,CaTi0.4Al0.3Nb0.3O3,Ca,II,41.2,39.71387,39.3053840637207,0.8290797886798268,-0.4084869384765639
10,CaTi0.3Al0.35Nb0.35O3,Ca,II,36.4,34.944263,34.355799522399906,0.8311058924589854,-0.5884639358520474
11,CaTi0.7Al0.15Nb0.15O3,Ca,II,69.0,66.80379,64.67962120056153,2.8549614798977223,-2.124166030883785
12,CaTi0.6Al0.2Nb0.2O3,Ca,II,56.6,55.123066,53.72855522155762,2.3264599939396886,-1.3945107269287078
13,CaTi0.53Al0.235Nb0.235O3,Ca,II,49.4,48.374016,47.21389274597168,1.7403259660907633,-1.160123062133792
14,CaTi0.5Al0.25Nb0.25O3,Ca,II,48.0,45.96589,44.878538284301754,1.6569791401919776,-1.0873506927490268
15,CaTi0.4Al0.3Nb0.3O3,Ca,II,41.1,39.499073,38.52581787109375,1.092845242826999,-0.9732551574707031
16,CaTi0.3Al0.35Nb0.35O3,Ca,II,36.4,34.6034,34.02339317321778,0.8430350660820267,-0.5800080108642547
17,Sm0.6Ca0.4Co0.3Ti0.7O3,Other,III,37.0,36.104156,38.094947509765625,1.1850003317375952,1.9907910156249997
18,Ca0.6Sr0.4Al0.3Nb0.3Ti0.4O3,Ca,Ib,37.2,37.792976,37.36325614929199,0.7442516566972103,-0.42972023010253935
19,Ca5Nb4TiO17,Ca,III,45.6,37.05191,38.7795442199707,1.5838606002540019,1.7276338195800776
20,Ca4.9Zn0.1Nb4TiO17,Ca,III,40.3,44.450775,46.77991744995117,2.953145371114184,2.3291423034667957
21,Ca4.8Zn0.2Nb4TiO17,Ca,III,37.9,44.048428,46.34205627441406,2.8444988874508996,2.293628692626953
22,Ca4.7Zn0.3Nb4TiO17,Ca,III,45.8,43.748714,45.60958236694336,2.9786899767539032,1.8608679199218727
23,Ca4.6Zn0.4Nb4TiO17,Ca,III,52.0,43.48935,45.7268798828125,2.577956156937875,2.237530517578122
24,CaTi0.6Al0.2Nb0.2O3,Ca,II,55.7,54.589134,53.35085174560547,2.103785336165929,-1.2382824707031261
25,CaTi0.7Al0.15Nb0.15O3,Ca,II,67.8,65.767136,62.607731628417966,3.2945150782516244,-3.1594039916992216
26,SrLa3Ti2NbO12,Sr,III,41.0,43.067047,38.304715385437014,4.688165029895314,-4.762331733703611
27,Sr2La2TiNb2O12,Sr,III,39.0,40.875904,36.79883827209473,4.7949032579448065,-4.077065811157226
28,Ba2SrLaNb3O12,Ba,II,39.5,41.546608,32.58249156951904,6.807276059541171,-8.964116401672364
29,Ba.5Sr.5LaNb3O12,Other,Ib,38.95,37.53063,37.8490531539917,7.4765833136733795,0.3184249496459941
30,BaSr2LaNb3O12,Sr,III,37.1,36.658295,29.790149536132812,5.485948713972673,-6.868145141601563
31,Sr3LaNb3O12,Sr,III,35.8,36.590313,33.46459930419922,4.470216052202326,-3.1257136535644534
32,BaLa0.5Nb0.5O3,Ba,III,45.0,44.30557,44.31629905700684,0.5282813278271649,0.010730361938477984
33,BaPr0.5Nb0.5O3,Ba,III,44.5,43.21682,43.15119804382324,0.37889799823360754,-0.065621719360351
34,BaNd0.5Nb0.5O3,Ba,III,44.0,41.635216,41.312944412231445,0.24016972423998367,-0.32227134704589844
35,BaSm0.5Nb0.5O3,Ba,II,43.0,40.138355,39.45393501281738,0.4759008540520092,-0.6844202423095709
36,BaEu0.5Nb0.5O3,Ba,II,40.0,38.919624,38.524155883789064,0.4806573206584425,-0.3954684448242176
37,BaGd0.5Nb0.5O3,Ba,II,40.0,38.158325,37.587595825195315,0.5912537205303241,-0.5707293701171849
38,BaTb0.5Nb0.5O3,Ba,II,39.0,37.385796,36.93129646301269,0.6565687448428424,-0.454499130249026
39,Ca5Nb2TiO12,Ca,III,48.0,37.467678,35.72897510528564,2.8327381650138723,-1.7387029647827177
40,BaDy0.5Nb0.5O3,Ba,II,38.9,36.74372,36.27918830871582,0.6628124364929523,-0.46453269958496435
41,BaY0.5Nb0.5O3,Ba,II,37.0,36.02114,35.670682678222654,0.5353545295190982,-0.3504583740234395
42,BaYb0.5Nb0.5O3,Ba,Ib,36.0,35.020798,34.53600708007812,0.4050188606009878,-0.4847906494140659
