idx,formula,regime,a_site,is_train,is_holdout,er_measured,er_predicted,ensemble_std,er_cm,delta_lst,delta_tilt,delta_res,sigma_conf,has_cm,cm_approx,gii,gii_norm,tolerance_factor,chi_A,chi_B,d0_per_field,d0_B_fraction,alpha_total,a_off_centering_frac,phase_transition,ordering_proxy,soft_mode_tolerance_weighted,RE_x_chi_A,f_lst
17,Sm0.6Ca0.4Co0.3Ti0.7O3,III,Other,True,False,37.0,36.104156,0.84534174,24.86803,10.943591,-0.0044069393,0.29694003,0.7801253,True,False,0.7382509,0.63319844,0.925767549379554,1.1019999999999999,1.642,0.08017608421873106,0.7,11.898,0.0,1.0,0.6425387473466287,0.6480372845656878,1.1019999999999999,0.4400666639054239
18,Ca0.6Sr0.4Al0.3Nb0.3Ti0.4O3,Ib,Ca,True,False,37.2,37.792976,0.8640531,22.903906,14.828258,-0.0021633198,0.06297276,0.18295608,True,False,0.29354835,0.25177667,0.985588795035649,0.98,1.5790000000000002,0.06262427053380876,0.7,11.943,0.0,0.0,1.2098888614946932,0.5716415011206765,0.0,0.6474117558812894
19,Ca5Nb4TiO17,III,Ca,False,True,45.6,37.05191,3.818204,0.0,36.139275,-0.00037858885,0.4927321,0.9932121,False,True,0.57468307,0.49290618,0.9530115988446336,1.0,1.5880000000000003,0.08367312951366797,1.0,65.06,0.0,0.0,0.5485893235826059,0.6480478872143509,0.0,
20,Ca4.9Zn0.1Nb4TiO17,III,Ca,True,False,40.3,44.450775,1.8432815,0.0,42.08243,-0.00036072065,0.6053076,0.9932195,False,True,0.57530916,0.49344316,0.9520291126602576,1.0,1.5892156862745102,0.08316482700519554,0.9803921568627452,64.948,0.0,0.0,0.5914484577667695,0.6346860751068385,0.0,
21,Ca4.8Zn0.2Nb4TiO17,III,Ca,True,False,37.9,44.048428,1.7110115,0.0,42.05181,-0.00036112632,0.60749865,0.99322855,False,True,0.5760897,0.49411264,0.9510863228873718,1.0,1.5903846153846155,0.08266266293922553,0.9615384615384615,64.83599999999998,0.0,0.0,0.6394081037069231,0.6218641341955893,0.0,
22,Ca4.7Zn0.3Nb4TiO17,III,Ca,True,False,45.8,43.748714,1.7930518,0.0,42.04003,-0.00036141282,0.6124202,0.9932389,False,True,0.5770029,0.49489588,0.950180871323313,1.0,1.5915094339622642,0.08216652678810993,0.9433962264150944,64.72399999999999,0.0,0.0,0.664055724599417,0.6095499929243894,0.0,
23,Ca4.6Zn0.4Nb4TiO17,III,Ca,True,False,52.0,43.48935,1.9460975,0.0,42.02668,-0.0003616993,0.61795324,0.9932507,False,True,0.5780298,0.49577668,0.9493105829267904,1.0,1.5925925925925926,0.08167631066188977,0.9259259259259258,64.612,0.0,0.0,0.6788951205640825,0.5977140707316828,0.0,
24,CaTi0.6Al0.2Nb0.2O3,II,Ca,True,False,55.7,54.589134,0.74448866,22.80431,31.70657,-0.00097050256,0.07922528,0.23475716,True,False,0.47706512,0.40917918,0.969705996221792,1.0,1.566,0.07210722681783648,0.8,11.714,0.0,0.0,1.055856154703594,0.6981883172796902,0.0,1.3903762051998065
25,CaTi0.7Al0.15Nb0.15O3,II,Ca,True,False,67.8,65.767136,1.5267111,24.197956,41.460407,-0.00070609734,0.10948397,0.23607357,True,False,0.48132858,0.41283596,0.9688573974002452,1.0,1.5594999999999999,0.07690223260090356,0.85,11.8155,0.0,0.0,0.9097871735809745,0.7653973439461936,0.0,1.7133846759618867
26,SrLa3Ti2NbO12,III,Sr,True,False,41.0,43.067047,1.2319418,0.0,36.68994,-0.0002772348,0.52838343,0.9975274,False,True,1.5873516,1.0,0.9028247828127356,0.95,1.33,0.07056503083396053,0.5,49.53,0.0,0.0,1.1087987494569487,0.3912240725521855,0.0,
