idx,formula,regime,a_site,er_measured,PC1,PC2,PC3,PC4
56,CaTi0.60Al0.20Ta0.20O3,II,Ca,52.3,0.8272009,-0.4502295,1.0807106,-0.9272486
57,CaTi0.60Al0.20Ta0.20O3,II,Ca,52.4,0.7320083,-0.5467238,1.1058881,-0.9196666
58,CaTi0.60Al0.20Ta0.20O3,II,Ca,52.0,0.6315804,-0.64023423,1.1324253,-0.9093174
59,CaTi0.54Al0.23Ta0.23O3,II,Ca,46.6,1.7261671,-0.6235523,0.529771,-0.9208517
60,CaTi0.54Al0.23Ta0.23O3,II,Ca,46.7,1.7004249,-0.66906744,0.5276578,-0.9175777
61,CaTi0.54Al0.23Ta0.23O3,II,Ca,46.8,1.6294951,-0.7817842,0.52441156,-0.9081303
62,CaTi0.54Al0.23Ta0.23O3,II,Ca,46.5,1.5496242,-0.89249814,0.5244635,-0.89697677
63,CaTi0.50Al0.25Ta0.25O3,II,Ca,41.4,2.2289753,-0.6837199,0.18327485,-0.85808945
64,CaTi0.70Al0.15Ta0.15O3,II,Ca,65.7,-1.0391097,0.25426307,1.9211562,-0.58367586
65,CaTi0.50Al0.25Ta0.25O3,II,Ca,41.5,2.1504688,-0.8484255,0.153747,-0.8382153
66,Ca0.70Nd0.30Ti0.70Al0.30O3,II,Ca,43.5,2.2806938,-1.3063782,-0.13579985,-0.74935067
67,Ca0.70La0.15Nd0.15Ti0.70Al0.30O3,II,Ca,41.5,1.377912,-1.7790587,0.07830746,-0.63545644
68,Ca0.70La0.30Ti0.70Ga0.30O3,II,Ca,49.4,1.9557469,-0.24694988,0.9634244,-0.54450583
69,Ca0.70Nd0.30Ti0.70Ga0.15Al0.15O3,III,Ca,45.3,-0.08579522,-1.1647733,0.8141692,-0.863765
70,Ca0.70La0.30Ti0.70Ga0.15Al0.15O3,II,Ca,45.2,0.69438374,-1.7239746,0.80084926,-0.68004984
71,Ca0.70La0.15Nd0.15Ti0.70Ga0.15Al0.15O3,II,Ca,45.2,0.9910191,-1.7062927,0.5169806,-0.6881249
72,Ca0.67La0.165Nd0.165Ti0.67Ga0.33O3,III,Ca,44.7,0.91252166,-0.82741314,0.6979969,-0.6970715
73,Ca0.66La0.17Nd0.17Ti0.66Ga0.34O3,III,Ca,44.1,1.0521334,-0.7708803,0.65885013,-0.68969285
74,Ca0.64La0.18Nd0.18Ti0.64Ga0.36O3,III,Ca,43.6,1.3169425,-0.65049213,0.5824471,-0.673539
75,Ca0.66La0.34Ti0.66Ga0.34O3,II,Ca,47.5,2.4857538,-0.07935518,0.758526,-0.52610594
76,Ca0.64La0.36Ti0.64Ga0.36O3,II,Ca,46.5,2.7211378,0.010250849,0.6662852,-0.51237255
77,Ba2.5Sr0.5LaNb3O12,Ib,Ba,41.86,-1.7718136,2.080139,2.6831944,1.5582713
78,CaTi0.70Al0.15Ta0.15O3,II,Ca,65.6,-0.91050845,0.30657172,1.873991,-0.61017513
79,CaLa4Ti4O15,II,Ca,41.1,1.6984608,-3.5340397,-0.34585264,-0.4738881
80,BaZn0.300Nb0.600Zr0.100O3,Ib,Ba,38.0,-1.7256548,-1.6865934,2.4552648,0.06390818
81,Ba0.80Sr0.20Zn0.313Ta0.627Ti0.060O3,Ib,Ba,42.0,0.22604018,-1.4032748,1.2723992,0.4674339
82,Ba0.75Sr0.25Zn0.313Ta0.627Ti0.060O3,Ib,Ba,40.0,0.10106038,-1.2455337,1.4672562,0.4580586
83,Ba4LaTiNb3O15,Ib,Ba,52.0,-3.1247852,-0.7811711,3.039553,0.7661031
84,Ba4LaSnNb3O15,Ib,Ba,39.0,-1.917963,-0.4367406,2.8628,0.74464875
85,Ca0.65Sm0.315Nd0.035Ti0.65Al0.35O3,II,Ca,39.7,2.3846478,-1.0728174,0.09779769,-0.9293487
86,Ca0.25Sm0.675Nd0.075Ti0.25Al0.75O3,II,Ca,22.74,4.087622,-1.6963916,-1.3924154,-0.8466395
87,Ca0.35Sm0.585Nd0.065Ti0.35Al0.65O3,II,Ca,25.84,3.7971041,-1.8774823,-1.2731295,-0.84561604
88,Ca0.45Sm0.495Nd0.055Ti0.45Al0.55O3,II,Ca,29.38,3.890297,-1.3979048,-1.120434,-0.9442128
89,Ca0.55Sm0.405Nd0.045Ti0.55Al0.45O3,II,Ca,32.85,3.4239283,-1.5721351,-0.89795554,-0.9351503
90,Ca0.75Sm0.225Nd0.025Ti0.75Al0.25O3,II,Ca,50.21,1.047882,-0.83949095,0.8286774,-0.83305657
91,CaTi0.70Al0.15Ta0.15O3,II,Ca,65.5,-0.8577957,0.32818377,1.8542432,-0.6199358
92,Ca0.85Sm0.135Nd0.015Ti0.85Al0.15O3,II,Ca,69.2,-1.220484,0.26984438,1.6012869,-0.4864657
93,Ca5Nb.5Ta0.5TiO12,III,Ca,46.0,-0.7367179,4.679314,0.74976504,0.6282856
94,Ca5NbTaTiO12,III,Ca,43.0,0.09689575,4.6727195,0.5607108,0.3244488
95,Ca5Nb0.5Ta.5TiO12,III,Ca,40.0,-0.19823334,4.627196,0.601297,0.4054818
96,Ca5Ta2TiO12,III,Ca,38.0,1.9634721,5.0324197,-0.16967015,0.5031151
97,BaZn0.333Co0.000Nb0.667O3,Ib,Ba,41.4,-1.1549475,-1.0524384,2.1631093,0.25645766
98,BaZn0.267Co0.067Nb0.667O3,Ib,Ba,40.1,-1.2158865,-1.7072766,2.0824454,-0.024166206
99,BaZn0.200Co0.133Nb0.667O3,Ib,Ba,38.2,-1.190003,-2.1157084,1.936448,-0.17519532
100,BaZn0.133Co0.200Nb0.667O3,Ib,Ba,35.8,-1.0997741,-2.404811,1.7514672,-0.25531125
101,BaZn0.067Co0.267Nb0.667O3,Ib,Ba,33.9,-0.96561027,-2.5427964,1.5600892,-0.2605364
102,BaLa4Ti4O15,Ib,Ba,44.4,0.5095994,-4.1041446,0.13380292,-0.3657794
103,SrLa4Ti4O15,II,Sr,43.7,1.170937,-3.983122,-0.32606634,-0.3647546
104,CaTi0.60Mg0.1333Nb0.2667O3,III,Ca,62.97,-2.0177143,0.9725636,1.1050746,-0.58851206
105,Ba3LaNb3O12,Ib,Ba,44.8,-2.7254024,1.6828322,2.6978931,1.5937679
106,Pb0.40Ca0.60Fe0.495Nb0.495Zr0.01O3,II,Pb,68.4,0.84181225,6.340766,-1.3421073,-0.40562215
107,LaAlO3,Ia,La,22.0,4.0974026,-1.273861,-0.88362825,-1.0667671
108,La0.75Sr0.25Al0.75Ti0.25O3,Ib,La,26.0,2.6704419,-1.5203222,-0.7422234,-0.89824176
109,La0.55Sr0.45Al0.55Ti0.45O3,Ib,La,29.0,1.2201967,-2.9837356,-0.5435988,-0.78316563
110,La0.50Sr0.50Al0.50Ti0.50O3,Ib,La,33.0,0.86025745,-3.2083495,-0.40285403,-0.76443046
111,La0.45Sr0.55Al0.45Ti0.55O3,Ib,La,34.0,0.4845539,-3.4420736,-0.25578144,-0.73831177
112,La0.40Sr0.60Al0.40Ti0.60O3,Ib,La,39.0,-0.35016105,-3.6113567,0.319164,-0.71582353
113,La0.25Sr0.75Al0.25Ti0.75O3,Ib,La,46.0,-1.8435746,-4.074112,0.99605775,-0.55850273
114,Ba0.99Zn0.10Co0.2333Nb0.6667O3,Ib,Ba,33.7,-1.1011907,-2.657405,1.6282068,-0.2688006
115,Ba0.993La0.0067Zn0.10Co0.2333Nb0.6667O3,Ib,Ba,34.0,-1.606015,-2.882539,1.5445958,-0.32834625
116,LaZn0.5Ti0.5O3,III,La,34.0,1.828021,-2.5703523,0.11814596,-0.9507955
117,Ba5Ta4O15,Ib,Ba,30.2,2.7343762,-0.9475612,-0.8802967,0.3457625
118,Ba4SrTa4O15,Ib,Ba,32.9,2.1845772,-1.1893474,-0.32435673,0.05892603
119,Ba3Sr2Ta4O15,Ib,Ba,34.3,1.7856191,-1.5237432,0.11176865,-0.10235804
