sample_idx,feature_name,shap_value
0,f_0,-0.12824486097770077
0,f_1,1.9510453936986425
0,f_2,0.18377086240398838
0,f_3,-0.6928923406175262
0,f_4,-0.027316193245679337
0,f_5,-0.18506217690650606
0,f_6,0.37774708974547394
0,f_7,0.06214717911086076
0,f_8,0.45169363818639413
0,f_9,0.7450034766715344
0,f_10,0.11873349131523767
0,f_11,0.4015060405563859
0,f_12,0.4961468342292898
0,f_13,-1.0209608624338455
0,f_14,-0.008409288020029146
0,f_15,1.7311123252957012
0,f_16,0.1348562119310097
0,f_17,-0.6901517089373912
0,f_18,-0.26601812081581994
0,f_19,-0.4480690952615516
0,f_20,0.47523634177602553
0,f_21,0.21172606717061376
0,f_22,0.7031982066912096
0,f_23,0.13903344146612334
0,f_24,0.2861478413471474
0,f_25,0.005711893096297402
0,f_26,-0.5775057236733246
0,f_27,1.4710127200466827
0,f_28,3.593968384277199
0,f_29,1.568157696326748
0,f_30,0.29065307751562997
0,f_31,-0.2591980049734373
0,f_32,0.47925347709820015
0,f_33,0.22958657846552147
0,f_34,0.4159033176759748
0,f_35,-0.27041873053219156
0,f_36,2.1933349129651383
0,f_37,-0.6363549615233514
0,f_38,-0.0005220659172285183
0,f_39,-0.5452357771619712
0,f_40,-0.019487353899328
0,f_41,0.010216860935095749
0,f_42,-0.30497660767553914
0,f_43,0.0018564617616167573
0,f_44,0.057476257902087324
0,f_45,0.3152126232670003
0,f_46,-0.283836889617147
0,f_47,0.09202000323362565
0,f_48,-0.3341904894817634
0,f_49,-0.10206202285439446
0,f_50,0.28471687557825015
0,f_51,-0.4804641362389612
0,f_52,0.006327205526830462
0,f_53,0.35500642895587925
0,f_54,0.11300098235751241
0,f_55,-0.07668347742730748
0,f_56,-0.12206676671871314
0,f_57,0.005459448106690332
0,f_58,-0.21787935895092508
0,f_59,0.40343747887148396
0,f_60,1.173251531935512
0,f_61,0.05317179033116357
0,f_62,0.26271375921219126
0,f_63,-0.9409117526857375
0,f_64,-1.2978088901312603
0,f_65,0.33457199307574015
0,f_66,1.1178728369443907
0,f_67,0.18720413094492053
0,f_68,0.6961456309641121
0,f_69,0.3466537773441968
0,f_70,0.9370677677942061
0,f_71,-0.4594536158455621
0,f_72,0.6990619044209393
0,f_73,1.2271999300974925
0,f_74,0.08040430409484026
0,f_75,0.0
0,f_76,0.0
0,f_77,0.10514837777706214
0,f_78,-0.5854686206191885
0,f_79,-1.0912384013500032
0,f_80,0.7348510209877632
0,f_81,0.4991490154662591
0,f_82,0.3490430545582324
0,f_83,-0.3708643642180812
0,f_84,-0.15177699919610163
0,f_85,0.18211654599260285
0,f_86,-3.286280495319771
0,f_87,-0.12711012199224303
0,f_88,0.137963913260373
0,f_89,0.2213068282648642
0,f_90,-0.24946757594691188
0,f_91,-0.5523156602747469
0,f_92,0.36421836719783257
0,f_93,0.28555637621122393
0,f_94,0.8056640289479976
0,f_95,0.0
0,f_96,0.17068439365028618
0,f_97,0.23508879652790304
0,f_98,-0.20402188385363856
0,f_99,-0.1343139314834165
0,f_100,0.3156912922123865
0,f_101,-0.3669165548423328
0,f_102,-0.20293652681253374
0,f_103,-9.227697758369834
0,f_104,-12.456542543172837
0,f_105,0.47096049823448993
0,f_106,-0.04665607373961677
0,f_107,-0.0007427501084748655
1,f_0,0.3928683169789171
1,f_1,4.597146070504257
1,f_2,-0.19784850865561354
1,f_3,3.083081765385277
1,f_4,0.3774390820342676
1,f_5,0.21958551510400626
1,f_6,0.34885677246645
1,f_7,3.9153020424027027
1,f_8,-1.4586423154004478
1,f_9,-1.4435833013762187
1,f_10,1.1970353612977949
1,f_11,-0.1482126118191287
1,f_12,5.277954287587821
1,f_13,8.121744069795056
1,f_14,3.064557486681066
1,f_15,-3.2328395797771803
1,f_16,-0.25640733798425885
1,f_17,15.03070610810076
1,f_18,3.649817868067471
1,f_19,4.633768717827169
1,f_20,5.427196004276388
1,f_21,6.702893530909644
1,f_22,-2.7232127000455955
1,f_23,0.34675313116712586
1,f_24,0.0364364469291058
1,f_25,2.031457084196782
1,f_26,14.48629189443318
1,f_27,-0.0458405969224399
1,f_28,-0.39741236199131935
1,f_29,0.5527668446549446
1,f_30,-1.7636488171360867
1,f_31,1.291998324405452
1,f_32,-2.3456280928065745
1,f_33,-1.0885865830937707
1,f_34,-2.1773658430930327
1,f_35,1.1345320986658631
1,f_36,-2.029296626058255
1,f_37,-0.3311137091755335
1,f_38,-0.010514340065267276
1,f_39,-0.33120816606776254
1,f_40,0.011339717137176141
1,f_41,0.035035775112998595
1,f_42,-0.30803159291079624
1,f_43,0.01798662609031433
1,f_44,-0.02282644051100718
1,f_45,-1.2846649047441234
1,f_46,1.3537847426716019
1,f_47,-1.1963120007922536
1,f_48,2.325682583048526
1,f_49,0.6341085307215114
1,f_50,0.6586417639372306
1,f_51,1.2428418098484892
1,f_52,2.8449059424610743
1,f_53,0.5301691385376202
1,f_54,-0.346385256004591
1,f_55,4.614506432778331
1,f_56,0.20104934031548616
1,f_57,-0.14637885332019368
1,f_58,0.5850926042466121
1,f_59,4.348929093466685
1,f_60,0.13902371292497867
1,f_61,-7.415874129658269
1,f_62,-2.185567537816508
1,f_63,5.114066153467664
1,f_64,2.9959864138912473
1,f_65,0.13081992749389562
1,f_66,-0.9838861496306438
1,f_67,0.05004391891938287
1,f_68,0.6469464772644598
1,f_69,-1.6265167950561215
1,f_70,-3.9521690245185592
1,f_71,0.07547034597981134
1,f_72,-0.360384972503914
1,f_73,0.5749706026414426
1,f_74,-0.04987482920458856
1,f_75,0.0
1,f_76,0.0
1,f_77,2.6371358055404266
1,f_78,-0.27021275328679417
1,f_79,6.294219419335809
1,f_80,0.7035498755690794
1,f_81,3.278296752648804
1,f_82,-0.9269945761241837
1,f_83,-0.15067770660522808
1,f_84,-0.3984404095507529
1,f_85,0.17443594015982136
1,f_86,0.3783874012842262
1,f_87,-0.12941175577981426
1,f_88,0.7700625947562102
1,f_89,0.5468422398099065
1,f_90,-0.13594869788212358
1,f_91,-0.47689553288830455
1,f_92,0.12276963198773519
1,f_93,1.5413261931495281
1,f_94,0.5950761920167571
1,f_95,0.0
1,f_96,-0.7557417358642023
1,f_97,-0.22226660350441282
1,f_98,0.22143571829031827
1,f_99,-0.16627444042442463
1,f_100,0.5215946677682092
1,f_101,-1.2385710894570618
1,f_102,-1.1716418640702884
1,f_103,4.81111455952673
1,f_104,2.5011701202392578
1,f_105,-0.32635185327832006
1,f_106,0.13638290356970717
1,f_107,-0.03214336559176445
2,f_0,0.0330211900797927
2,f_1,-9.678102705728172
2,f_2,0.1380222035317277
2,f_3,-1.6846358970291515
2,f_4,0.20831517664018187
2,f_5,0.20058378072184155
2,f_6,-1.2466847947158073
2,f_7,-4.47043924709899
2,f_8,0.008739375481947689
2,f_9,-0.4903601024637767
2,f_10,-6.209340023819287
2,f_11,-0.03500904954116629
2,f_12,0.5667109646534396
2,f_13,-2.3978369301168074
2,f_14,0.32521161613734234
2,f_15,-4.982934476324661
2,f_16,-1.666613556313159
2,f_17,-4.371962803778249
2,f_18,2.4325917040075375
2,f_19,0.9844225375157032
2,f_20,-2.720209793610313
2,f_21,-2.2305834458640525
2,f_22,1.3360508385898573
2,f_23,0.013764153721017372
2,f_24,0.5489506922955489
2,f_25,-0.8427467929948136
2,f_26,-4.4054978382462755
2,f_27,0.7383460849342833
2,f_28,-0.23435365540073438
2,f_29,1.4402204972126968
2,f_30,0.2416641134325544
2,f_31,-0.14079321152070357
2,f_32,0.5741211673145952
2,f_33,0.17596261775470684
2,f_34,0.5415465161360409
2,f_35,-0.3165993733929315
2,f_36,-0.19725391364667874
2,f_37,-0.30189887427691153
2,f_38,0.16190889688186222
2,f_39,-0.27363328483857474
2,f_40,0.2380284237131959
2,f_41,0.16085302957049816
2,f_42,-0.4920676540396867
2,f_43,0.1919036388311488
2,f_44,0.1013580053205431
2,f_45,0.005466155114474844
2,f_46,-0.10523888382321042
2,f_47,0.3911508603205348
2,f_48,0.3544344030866354
2,f_49,0.11739820011890993
2,f_50,-0.4118485808716234
2,f_51,-0.322719513370658
2,f_52,-0.024197011387350482
2,f_53,0.24812303389258397
2,f_54,0.1117682386882738
2,f_55,-0.8317459759578262
2,f_56,0.02341631268628909
2,f_57,0.0001988492139151493
2,f_58,-0.2749194639199384
2,f_59,0.26411029308985534
2,f_60,-0.09532047402255939
2,f_61,-0.06893778294615145
2,f_62,0.5221132343667032
2,f_63,-2.146904093500491
2,f_64,-0.7310676102140284
2,f_65,-0.2166587562552948
