feature,mean_abs_shap,mean_signed_shap,std_shap
f_103,4.979653122689242,-0.6494448495976805,6.0473607161870255
f_26,3.205329710032169,-0.4641260986457667,4.232994534735643
f_17,3.148270381692655,-0.4711635881144177,4.21695696624759
f_63,2.7589939682141624,-0.28490907702958035,4.39493780419185
f_13,2.639740855819996,-0.2392006835521155,3.2110964987705977
f_15,2.5343228593440803,0.016584143445102662,3.2271158579201034
f_1,2.3879662352305373,-0.29757149005775035,3.0801254460079646
f_21,2.141714088046764,-0.10941707381334416,2.8206790925730436
f_20,2.103801099092915,-0.11610546362863974,2.76057125658299
f_104,1.9922483552068468,-0.00496802764236924,3.502811420851991
f_18,1.7855362340478975,-0.1688599451751198,2.2023087088326614
f_12,1.6939323477835153,-0.06179657901210023,2.2975456923143622
f_29,1.659691202071046,0.26606441587178176,2.662690403428943
f_37,1.5898486681942403,-0.15092654833106536,2.846091258041232
f_7,1.5027687556331957,-0.25975700142060304,1.852832423843657
f_39,1.452703058316807,-0.13898657725662955,2.6102969837329137
f_6,1.3277673990969672,0.046932442489001566,1.5134627982645221
f_22,1.2095330284980805,-0.008622852845304231,1.4836279042000091
f_42,1.1964964312946074,-0.19024041099589672,2.263631610557084
f_14,1.1380818133965984,-0.00389901701081103,1.5930512679167195
f_36,1.1027664643088737,0.027623762015173726,1.660035996018217
f_93,1.0818661240751077,-0.22977196203370326,1.5873581763114892
f_9,1.0488187313789366,0.12332943867453558,1.349467145192639
f_3,1.0156070645255786,-0.1808455245714307,1.3997619246002502
f_19,0.9999174858051137,-0.1105883736177439,1.3210213686523575
f_79,0.9165448988802499,0.023195554598055657,1.859604132354329
f_101,0.8841985403167806,0.1627895047269519,1.359326896034426
f_28,0.8113096661457425,0.038872542726771854,1.3183845724226724
f_102,0.7995200042461168,0.10281090072880093,1.2853737804691145
f_27,0.7732248160075312,0.058806238135357874,0.9966739442351398
f_10,0.769826654617016,-0.0944087031234396,2.117185056253627
f_64,0.759606680233863,0.0031662119467082174,1.2163683749170084
f_83,0.7456232743907099,0.23047040734231708,1.4138432098038678
f_80,0.7284721851299344,0.03173490609771375,1.2451563736352735
f_55,0.709877373755739,-0.025504819885676024,1.1683959895492357
f_61,0.6751210274564275,-0.10096862695483852,1.2651449640214187
f_82,0.6748337515104881,0.06743068923628184,1.0246856293075088
f_90,0.6722077100081908,0.042806404130434045,1.0951238403000942
f_25,0.6697934594450295,0.01688232136068843,1.0453406614618161
f_24,0.6389643206306735,-0.04455287898235584,0.7960926966448467
f_68,0.6283041368464191,-0.03278517956256266,0.9264646170446088
f_32,0.6251268696650745,0.05913979976185959,0.8558537335458238
