line0_x,line0_y,errorbar1_x,errorbar1_y,scatter2_x,scatter2_y,errorbar3_x,errorbar3_y,scatter4_x,scatter4_y,errorbar5_x,errorbar5_y,scatter6_x,scatter6_y,errorbar7_x,errorbar7_y,scatter8_x,scatter8_y,errorbar9_x,errorbar9_y,scatter10_x,scatter10_y,ref_line_value,ref_line_label
1.3,1.493055429582871,1.49,2.281403997400894,1.49,2.281403997400894,1.34,1.6575857889979435,1.34,1.6575857889979435,1.36,1.1303562605062458,1.36,1.1303562605062458,1.44,0.9062445898613923,1.44,0.9062445898613923,1.61,0.6589788110454278,1.61,0.6589788110454278,1.0,
1.3036363636363637,1.482350925332157,,,,,,,,,,,,,,,,,,,,,,
1.3072727272727274,1.4716464210814433,,,,,,,,,,,,,,,,,,,,,,
1.310909090909091,1.4609419168307292,,,,,,,,,,,,,,,,,,,,,,
1.3145454545454547,1.4502374125800155,,,,,,,,,,,,,,,,,,,,,,
1.3181818181818181,1.4395329083293018,,,,,,,,,,,,,,,,,,,,,,
1.3218181818181818,1.4288284040785881,,,,,,,,,,,,,,,,,,,,,,
1.3254545454545454,1.418123899827874,,,,,,,,,,,,,,,,,,,,,,
1.329090909090909,1.4074193955771603,,,,,,,,,,,,,,,,,,,,,,
1.3327272727272728,1.3967148913264467,,,,,,,,,,,,,,,,,,,,,,
1.3363636363636364,1.3860103870757325,,,,,,,,,,,,,,,,,,,,,,
1.34,1.3753058828250189,,,,,,,,,,,,,,,,,,,,,,
1.3436363636363637,1.3646013785743047,,,,,,,,,,,,,,,,,,,,,,
1.3472727272727274,1.353896874323591,,,,,,,,,,,,,,,,,,,,,,
1.3509090909090908,1.3431923700728774,,,,,,,,,,,,,,,,,,,,,,
1.3545454545454545,1.3324878658221637,,,,,,,,,,,,,,,,,,,,,,
1.3581818181818182,1.3217833615714496,,,,,,,,,,,,,,,,,,,,,,
1.3618181818181818,1.3110788573207355,,,,,,,,,,,,,,,,,,,,,,
1.3654545454545455,1.3003743530700218,,,,,,,,,,,,,,,,,,,,,,
