scatter0_x,scatter0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,ref_line_value,ref_line_label
39.98851,3.511490000000002,37.05191,8.548090000000002,40.67746,5.522539999999999,0.0,
40.494614,-6.194614000000001,37.467678,10.532322,43.781796,5.618203999999999,,
42.987133,-4.787132999999997,37.296345,0.7036549999999977,42.311543,12.588456999999998,,
49.750526,-4.550525999999998,47.20302,-1.903020000000005,38.391014,-13.291013999999997,,
45.148796,-1.1487959999999973,39.58573,6.414270000000002,46.72455,-15.72455,,
39.168556,-4.268556000000004,40.103462,2.8965379999999996,46.715218,-3.715218,,
39.247833,-4.947833000000003,39.058186,0.9418140000000008,30.00005,6.999949999999998,,
39.325085,-6.125084999999999,37.60357,0.3964300000000023,43.550186,5.849814000000002,,
37.96333,-3.463329999999999,51.386177,7.463822999999998,38.44729,-13.347290000000001,,
36.791862,-3.791862000000002,118.56636,0.4336399999999969,40.46939,-6.469389999999997,,
38.782627,1.217373000000002,112.52335,-5.5233499999999935,36.35043,-0.6504300000000001,,
21.698063,5.801936999999999,106.65071,-8.650710000000004,33.036644,-5.036644000000003,,
33.140873,-12.450872999999998,121.04042,19.959580000000003,,,,
31.975946,-12.015946,114.46061,2.5393899999999974,,,,
31.215464,-7.905464000000002,106.65071,1.3492899999999963,,,,
30.708752,-9.158752,100.45786,-0.4578599999999966,,,,
25.64954,-3.6495399999999982,95.919556,3.080444,,,,
42.953922,0.7460780000000042,92.21831,5.7816899999999976,,,,
36.93726,0.26274000000000086,86.62566,15.374340000000004,,,,
41.27618,0.7238200000000035,83.04742,10.952579999999998,,,,
49.238377,-9.238377,78.2658,3.7342000000000013,,,,
125.49353,-3.493530000000007,104.82051,-11.820509999999999,,,,
30.807495,-8.507494999999999,112.60176,0.358239999999995,,,,
24.999714,-4.199714,106.733505,-3.3835049999999995,,,,
35.916805,-15.216804999999997,101.52028,-1.4402800000000013,,,,
31.626835,-11.626835,41.38031,3.6196899999999985,,,,
39.31841,-6.118409999999997,27.370243,14.629757000000001,,,,
38.314987,-2.1149869999999993,24.275274,0.22472600000000043,,,,
22.0251,5.474900000000002,23.325426,6.274574000000001,,,,
30.534184,-2.5341839999999998,20.68501,0.07499000000000322,,,,
,,20.58067,-1.98067,,,,
,,45.011555,-11.011555000000001,,,,
,,46.51523,-10.515230000000003,,,,
,,12.264424,4.735576,,,,
,,20.082336,0.2676639999999999,,,,
,,19.889471,1.210529000000001,,,,
,,19.618038,1.281962,,,,
,,34.57849,-17.578490000000002,,,,
,,21.26384,1.3361600000000031,,,,
,,21.217093,0.6829070000000002,,,,
,,21.783733,0.8162669999999999,,,,
,,19.527973,3.3520269999999996,,,,
,,19.437366,1.522634,,,,
,,19.98595,2.0740499999999997,,,,
,,19.869503,0.1304969999999983,,,,
,,18.248789,1.7512110000000014,,,,
,,22.8633,5.136700000000001,,,,
,,22.52589,-0.37589000000000183,,,,
,,44.13131,-12.13131,,,,
,,44.91452,-10.914520000000003,,,,
,,42.99068,1.0093200000000024,,,,
,,42.974876,2.025123999999998,,,,
,,27.130566,14.869433999999998,,,,
,,77.18196,23.818039999999996,,,,
,,97.52934,1.4706599999999952,,,,
,,108.253075,-5.2530749999999955,,,,
,,107.0342,0.9658000000000015,,,,
,,119.311035,21.688964999999996,,,,
,,113.82666,27.173339999999996,,,,
,,120.37221,-1.3722099999999955,,,,
,,52.415264,-0.11526400000000336,,,,
,,54.115456,3.884543999999998,,,,
,,24.20015,-0.20015000000000072,,,,
,,22.71043,1.6895699999999998,,,,
,,25.910503,-3.310502999999997,,,,
,,25.435247,-2.835246999999999,,,,
,,24.251211,-2.151211,,,,
,,36.213585,-14.213585000000002,,,,
,,23.219858,-2.419857999999998,,,,
,,39.352116,-18.352116000000002,,,,
,,22.64732,-2.6473200000000006,,,,
,,21.344831,-1.3448309999999992,,,,
,,37.65497,-3.6549699999999987,,,,
,,36.887127,-4.8871269999999996,,,,
