scatter0_x,scatter0_y,line1_x,line1_y
-2.514646492705493,-18.352116000000002,-2.514646492705493,-20.598249884479937
-2.1846076046618257,-17.578490000000002,2.514646492705493,19.517332763790282
-1.994431412888064,-15.72455,,
-1.8571330507856398,-15.216804999999997,,
-1.7479105043709642,-14.213585000000002,,
-1.656271624157681,-13.347290000000001,,
-1.5767453854097704,-13.291013999999997,,
-1.506100324305085,-12.450872999999998,,
-1.442261134381371,-12.13131,,
-1.3838120297727452,-12.015946,,
-1.329741922420018,-11.820509999999999,,
-1.279302320621004,-11.626835,,
-1.2319228247126732,-11.011555000000001,,
-1.1871582311318405,-10.914520000000003,,
-1.1446540052143712,-10.515230000000003,,
-1.1041229430715278,-9.238377,,
-1.0653289230529688,-9.158752,,
-1.0280753023272688,-8.650710000000004,,
-0.9921964460441459,-8.507494999999999,,
-0.9575514227876382,-7.905464000000002,,
-0.9240192315302218,-6.469389999999997,,
-0.8914951326910936,-6.194614000000001,,
-0.8598877891843338,-6.125084999999999,,
-0.829117011070213,-6.118409999999997,,
-0.7991119564161245,-5.5233499999999935,,
-0.7698096814175577,-5.2530749999999955,,
-0.7411539610460136,-5.036644000000003,,
-0.7130943214925729,-4.947833000000003,,
-0.6855852400625317,-4.8871269999999996,,
-0.6585854786637259,-4.787132999999997,,
-0.6320575247705346,-4.550525999999998,,
-0.6059671195224876,-4.268556000000004,,
-0.5802828569741884,-4.199714,,
-0.5549758418329608,-3.791862000000002,,
-0.5300193955726834,-3.715218,,
-0.5053888027910046,-3.6549699999999987,,
-0.48106109122361423,-3.6495399999999982,,
-0.45701484004693216,-3.493530000000007,,
-0.4332300120661232,-3.463329999999999,,
-0.4096878061559592,-3.3835049999999995,,
-0.3863705269409089,-3.310502999999997,,
-0.36326146920065067,-2.835246999999999,,
-0.34034481489306373,-2.6473200000000006,,
-0.3176055410179511,-2.5341839999999998,,
-0.29502933681626586,-2.419857999999998,,
-0.27260252902312426,-2.151211,,
-0.25031201407758447,-2.1149869999999993,,
-0.22814519634526773,-1.98067,,
-0.2060899315371516,-1.903020000000005,,
-0.18413447461384053,-1.4402800000000013,,
-0.16226743155296977,-1.3722099999999955,,
-0.14047771443106408,-1.3448309999999992,,
-0.11875449933250096,-1.1487959999999973,,
-0.09708718664912236,-0.6504300000000001,,
-0.07546536337601599,-0.4578599999999966,,
-0.053878767043279055,-0.37589000000000183,,
-0.032317250951138826,-0.20015000000000072,,
-0.010770750397419324,-0.11526400000000336,,
0.010770750397419463,0.07499000000000322,,
0.032317250951138826,0.1304969999999983,,
0.053878767043279194,0.22472600000000043,,
0.07546536337601599,0.26274000000000086,,
0.09708718664912222,0.2676639999999999,,
0.1187544993325011,0.358239999999995,,
0.14047771443106435,0.3964300000000023,,
0.1622674315529699,0.4336399999999969,,
0.1841344746138408,0.6829070000000002,,
0.20608993153715174,0.7036549999999977,,
0.22814519634526773,0.7238200000000035,,
0.25031201407758474,0.7460780000000042,,
0.2726025290231244,0.8162669999999999,,
0.29502933681626614,0.9418140000000008,,
0.31760554101795124,0.9658000000000015,,
0.34034481489306373,1.0093200000000024,,
0.36326146920065094,1.210529000000001,,
0.386370526940909,1.217373000000002,,
0.40968780615595946,1.281962,,
0.4332300120661233,1.3361600000000031,,
0.45701484004693216,1.3492899999999963,,
0.4810610912236144,1.4706599999999952,,
0.5053888027910048,1.522634,,
0.5300193955726836,1.6895699999999998,,
0.5549758418329609,1.7512110000000014,,
0.5802828569741884,2.025123999999998,,
0.6059671195224879,2.0740499999999997,,
0.6320575247705349,2.5393899999999974,,
0.6585854786637261,2.8965379999999996,,
0.685585240062532,3.080444,,
0.7130943214925729,3.3520269999999996,,
0.7411539610460138,3.511490000000002,,
0.7698096814175578,3.6196899999999985,,
0.799111956416125,3.7342000000000013,,
0.8291170110702134,3.884543999999998,,
0.8598877891843343,4.735576,,
0.891495132691094,5.136700000000001,,
0.9240192315302219,5.474900000000002,,
0.9575514227876386,5.522539999999999,,
0.9921964460441465,5.618203999999999,,
1.0280753023272695,5.7816899999999976,,
1.065328923052969,5.801936999999999,,
1.1041229430715278,5.849814000000002,,
1.1446540052143717,6.274574000000001,,
1.1871582311318412,6.414270000000002,,
1.231922824712674,6.999949999999998,,
1.2793023206210044,7.463822999999998,,
1.3297419224200184,8.548090000000002,,
1.3838120297727452,10.532322,,
1.4422611343813714,10.952579999999998,,
1.506100324305086,12.588456999999998,,
1.576745385409771,14.629757000000001,,
1.6562716241576814,14.869433999999998,,
1.747910504370965,15.374340000000004,,
1.857133050785641,19.959580000000003,,
1.9944314128880665,21.688964999999996,,
2.1846076046618275,23.818039999999996,,
2.514646492705493,27.173339999999996,,
