scatter0_x,scatter0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y,scatter4_x,scatter4_y,scatter5_x,scatter5_y,scatter6_x,scatter6_y,scatter7_x,scatter7_y,scatter8_x,scatter8_y,ref_line_value,ref_line_label
0.9689831213724697,70.14016,0.9767642783462442,41.546608,0.9028247828127357,43.067047,0.933786945490369,18.425823,1.0085864165761607,22.417439,1.002,145.0,0.967,145.0,0.886,30.0,1.004,43.0,0.985,
0.9752899101577327,101.9993,0.9948021872575447,37.53063,0.91706240687268,40.875904,0.9703009004275095,48.21366,1.0067896807675298,26.358042,,,,,,,,,0.965,
0.9726983514947803,92.868675,0.9580227515608197,36.658295,0.9392812247753951,36.590313,0.970556082880972,45.933407,1.0053753166527266,30.68867,,,,,,,,,,
0.9701067928318281,82.80629,0.9518745131357371,44.30557,0.9392812247753951,36.338505,0.971407661294129,39.77038,1.0050248666610828,32.294834,,,,,,,,,,
0.9675152341688756,69.3427,0.9608990570525995,43.21682,0.9790166706104019,42.511314,0.9722607353913638,35.044006,1.0046756597147601,34.075817,,,,,,,,,,
0.9752899101577327,102.45421,0.9624198107038243,41.635216,0.9844035581224483,40.83866,0.9688573974002452,66.03942,1.004327689211849,37.255383,,,,,,,,,,
0.9701067928318281,83.3338,0.9678905918015043,40.138355,0.9844035581224483,40.494614,0.969705996221792,54.737343,1.003291131042045,46.18876,,,,,,,,,,
0.9675152341688756,69.816986,0.9703174886580843,38.919624,0.9844035581224483,42.987133,0.9703009004275095,48.266804,0.9416717568515662,32.11527,,,,,,,,,,
0.9793650833871748,128.1025,0.9723122025452297,38.158325,0.9877930440579413,40.67746,0.970556082880972,45.953957,0.9747351493731251,69.90773,,,,,,,,,,
0.9767695928834984,98.04759,0.9756550132347046,37.385796,0.9844035581224483,49.750526,0.971407661294129,39.71387,0.9754171911609711,67.530594,,,,,,,,,,
0.9741741023798222,91.00729,0.9781210530199942,36.74372,0.9540062986079785,34.715363,0.9722607353913638,34.944263,0.9761001880938637,65.3323,,,,,,,,,,
0.971578611876146,81.809044,0.9808255351942433,36.02114,1.0241328797925655,32.9255,0.9688573974002452,66.80379,0.987159694524467,35.823246,,,,,,,,,,
0.9689831213724697,69.61998,0.988111147340533,35.020798,0.9620884284672825,44.56174,0.969705996221792,55.123066,0.9767841421796151,61.39907,,,,,,,,,,
0.9793650833871748,128.22171,1.0510574870970408,40.510113,0.9846383040628809,45.68516,0.9703009004275095,48.374016,0.9776404338509059,59.048523,,,,,,,,,,
0.9767695928834984,98.455185,1.0500982879187521,39.223656,0.9663204890030626,55.146202,0.970556082880972,45.96589,0.9784982281648889,56.721302,,,,,,,,,,
0.9741741023798222,91.41054,1.0491184622876724,37.987045,0.9839540745688118,113.87594,0.971407661294129,39.499073,0.9802183405700005,51.75072,,,,,,,,,,
0.971578611876146,82.332886,1.0455602842023954,34.958748,0.9874816381279267,127.71926,0.9722607353913638,34.6034,0.9836767722151567,42.895737,,,,,,,,,,
0.9726983514947803,93.291504,1.0453023136235002,35.202633,0.9915113255255614,135.69829,0.985588795035649,37.792976,0.987159694524467,35.84801,,,,,,,,,,
0.9639333007684536,124.026535,1.0446534810827406,34.456932,0.9898319364240615,132.86832,0.9530115988446337,37.05191,0.9906673685659244,32.409176,,,,,,,,,,
0.962265596095844,122.762184,1.0433291232213273,29.43873,0.9705525495388422,57.256878,0.9520291126602577,44.450775,0.9747351493731251,69.90575,,,,,,,,,,
0.9555947774054048,101.04602,1.0185049731793445,27.49909,0.9790166706104019,51.853546,0.9510863228873718,44.048428,0.9754171911609711,67.530594,,,,,,,,,,
0.9539270727327951,75.19652,0.9805995905881171,36.6307,0.9790166706104019,43.635826,0.950180871323313,43.748714,0.9761001880938637,65.31752,,,,,,,,,,
0.9614317437595391,121.22898,0.9861350417389565,42.298412,0.9511145489105782,41.040253,0.9493105829267905,43.48935,0.9767841421796151,61.39907,,,,,,,,,,
0.9489239587149657,123.70681,1.0242499573491375,40.09371,0.9511145489105782,40.980534,0.969705996221792,54.589134,0.9776404338509059,59.048523,,,,,,,,,,
0.9785987851374435,138.74318,1.0169871355167046,38.80298,0.9511145489105782,40.92129,0.9688573974002452,65.767136,0.9802183405700005,51.75072,,,,,,,,,,
0.9734118657815912,99.79582,1.0140824343567947,39.994595,0.9511145489105782,40.862526,0.9552042302963716,37.467678,0.9836767722151567,42.963554,,,,,,,,,,
0.9723744819104208,95.50685,1.0080474620495916,47.268463,0.9785846883185843,67.283104,0.9552042302963716,37.296345,0.987159694524467,35.84801,,,,,,,,,,
0.9713370980392505,91.380226,0.999995964748876,38.28408,0.9816760228055247,55.158092,0.9688573974002452,64.32998,0.9906673685659244,32.409176,,,,,,,,,,
0.9708184061036652,89.29931,1.026571847475767,39.752705,0.975357535846328,80.37158,0.969705996221792,50.84762,0.987159694524467,35.897263,,,,,,,,,,
0.9682249464257391,76.97383,1.0263731872591584,37.743977,0.9747846100746222,58.555836,0.969705996221792,50.808613,0.987159694524467,35.897263,,,,,,,,,,
0.9464224017060511,115.00429,1.0262426855667806,36.284668,0.9892528367338891,33.412437,0.969705996221792,50.731434,0.987159694524467,35.87268,,,,,,,,,,
0.977463519725451,138.51408,1.0260769471009534,35.06587,0.9904726306139555,36.586903,0.969705996221792,50.682304,0.987159694524467,35.87268,,,,,,,,,,
0.9712464372678332,92.50621,1.0258789723407107,34.244884,0.9916954363307628,40.61205,0.9702158694264454,45.076775,0.987159694524467,35.84801,,,,,,,,,,
0.9702102568582304,88.01515,0.9910075087951115,44.747925,0.9929212650530506,45.369404,0.9702158694264454,44.953197,0.987159694524467,35.84801,,,,,,,,,,
