scatter0_x,scatter0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y,ref_line_value,ref_line_label
0.1496284,0.41743900000000167,0.18295608,0.5929760000000002,0.23383418,1.5863399999999999,0.38080642,9.925823000000001,14.38,Conformal $\hat{q}_{90}=14.38$
0.18311602,2.8767540000000054,0.9835122,1.4193700000000007,0.23343822,2.0665929999999975,0.7801253,0.8958439999999968,0.35,Layer-1 gate = 0.35
0.18311602,3.7519899999999993,0.13450766,0.9792020000000008,0.23211697,1.5296199999999942,0.9932121,8.548090000000002,,
0.17614247,1.9908239999999964,0.86933696,0.5101129999999969,0.23079333,1.755993999999994,0.9932195,4.150775000000003,,
0.18311602,4.151989999999998,0.8685751,3.2236559999999983,0.23607357,0.6394200000000012,0.99322855,6.148428000000003,,
0.17614247,4.190823999999999,0.8678297,6.012954999999998,0.23475716,0.4373430000000056,0.9932389,2.0512859999999975,,
0.18311602,6.497263000000004,0.8654307,0.041252000000000066,0.23383418,0.23319599999999951,0.9932507,8.510649999999998,,
0.18311602,1.6972629999999995,0.8652771,0.20263299999999873,0.23343822,2.146042999999999,0.9975274,2.0670470000000023,,
0.18311602,0.7726800000000011,0.8649039,0.4569320000000019,0.23211697,1.4861300000000028,0.9975274,1.8759039999999985,,
0.18311602,2.8273200000000003,0.8642023,1.4387299999999996,0.23079333,1.4557369999999992,0.99416244,0.4417049999999989,,
0.18311602,3.7519899999999993,0.98837644,0.4990899999999989,0.23607357,2.1962099999999936,0.9960496,0.7903130000000047,,
0.18311602,4.151989999999998,0.99030906,0.4384119999999996,0.23475716,1.476934,0.36607236,0.694429999999997,,
0.18311602,2.4767539999999997,0.1931163,2.0937100000000015,0.23383418,1.0259840000000011,0.29989025,1.2831800000000015,,
0.9943929,7.525717999999998,0.17470756,3.197020000000002,0.23343822,2.0341099999999983,0.25514084,2.364784,,
0.9944253,0.034570999999999685,0.16913988,0.005405000000003213,0.23211697,1.6009269999999987,0.99309003,10.532322,,
0.9992464,0.17397100000000165,0.8040215,4.731537000000003,0.23079333,1.796599999999998,0.9960496,0.33850499999999784,,
0.15835679,0.5721799999999995,0.8079812,0.715919999999997,0.23475716,1.1108660000000015,0.9937261,0.7036549999999977,,
0.994521,0.0700099999999999,0.20369485,1.6472949999999997,0.23607357,2.0328640000000036,0.24781163,1.903020000000005,,
0.9947065,0.701397,0.2043324,2.3560230000000004,0.99172246,2.046607999999999,0.2454427,0.2769350000000017,,
0.99499875,0.896370000000001,0.20518856,1.9153319999999994,0.20895639,2.861645000000003,0.2456049,0.2952100000000044,,
0.99527085,0.6956950000000006,0.20596163,0.7341300000000004,0.19484496,1.0803760000000011,0.24592881,0.9378560000000036,,
0.9993784,2.5113909999999997,0.20663568,0.3448840000000004,0.19923118,1.8416750000000022,0.9932205,6.414270000000002,,
0.9955246,0.8760170000000009,0.7968837,0.3479250000000036,0.18543082,1.6142040000000009,0.9934127,2.8965379999999996,,
0.17181122,1.6058999999999983,0.98882025,0.7574699999999979,0.17003855,2.1562799999999953,0.9934149,0.9418140000000008,,
0.9820138,0.8477439999999987,0.1531814,0.3580420000000011,0.16754971,0.9788599999999974,0.9937261,0.3964300000000023,,
0.9820138,2.265560999999998,0.15482683,1.6886699999999983,0.15946716,1.3693000000000026,0.24534681,1.9759929999999954,,
0.8738235,1.0382700000000007,0.15497126,0.7051659999999984,0.24022293,1.0700199999999995,0.26797748,1.8847299999999976,,
0.88219726,1.4307130000000008,0.15500563,0.07581700000000069,0.24031451,1.3523800000000037,0.5,0.6349610000000006,,
0.8687457,6.350864000000001,0.15493341,1.744616999999998,0.24031451,1.491386999999996,0.5,7.055038999999997,,
0.24785495,3.0197010000000013,0.15415157,0.18876000000000204,0.24031451,1.6685659999999984,0.5,3.005303999999999,,
0.24785495,1.489567000000001,0.20630181,0.19670599999999894,0.24031451,1.317695999999998,0.5,1.4050389999999986,,
0.1496284,0.9430049999999994,0.20472303,0.048430000000003304,0.24037424,1.5232250000000036,0.34203961,0.7018890000000013,,
0.7478497,0.4687090000000005,0.8642023,0.4980399999999996,0.24037424,1.7468029999999999,0.31424415,0.2638689999999997,,
0.24785495,2.9710539999999988,0.8412386,0.22979999999999734,0.24037424,2.1328299999999984,0.99196565,0.18463699999999506,,
0.24785495,1.2696760000000005,0.8147022,0.22740500000000452,0.24037424,2.0839599999999976,0.9975274,10.179466999999995,,
0.24967623,1.8093070000000004,0.7874067,1.1183730000000054,0.240416,0.46163299999999907,0.85993785,2.424820000000004,,
0.25740778,1.1825890000000001,0.7753529,1.1930739999999957,0.24022293,1.7023300000000035,0.9919735,0.6995080000000016,,
0.2864225,2.1438239999999986,0.8668109,2.055754999999998,0.240416,0.18120199999999897,0.9975274,0.5260859999999994,,
0.28236893,1.745560000000001,0.8694517,2.6910950000000042,0.23554704,3.511490000000002,0.9975274,6.452556000000001,,
0.27582824,2.09563,0.87211543,1.6010540000000049,0.22151645,1.3689040000000006,0.24677941,1.145610000000005,,
0.17165107,4.194237000000001,0.8747942,0.42702500000000043,0.23083086,2.0641430000000014,0.24900281,1.1524179999999973,,
0.24785495,2.3436640000000004,0.85221463,2.159544000000004,0.21959487,0.6228200000000044,0.31738108,15.803305000000009,,
0.15835679,0.5847599999999993,0.8662883,4.001032999999996,0.23323385,2.158440000000006,0.32316804,12.737100000000012,,
0.24785495,0.8672749999999994,0.8568579,0.9629179999999948,0.22981885,2.714010000000002,0.34294206,6.650170000000003,,
0.1496284,0.9714530000000003,0.83244216,0.6088939999999994,0.22933073,2.846096000000003,0.3658208,8.216369999999998,,
0.2864225,0.7176399999999994,0.84842366,0.7916920000000047,0.24022293,1.948082999999997,0.33329642,10.672460000000001,,
0.27158505,1.0048969999999997,0.77374446,5.522539999999999,0.8469585,0.05163000000000295,0.38465193,8.349905000000007,,
0.27158505,0.004896999999999707,0.19465652,0.009637999999998925,0.24660847,0.01641000000000048,0.3375205,0.08911000000000513,,
0.9820138,0.1592349999999989,0.19465652,0.6205630000000006,0.23302606,0.0931280000000001,0.34798405,0.8086550000000017,,
0.24785495,3.636126000000001,0.19465652,0.4439390000000003,0.2385629,0.9677579999999999,0.25713494,4.9734650000000045,,
0.9820138,3.949736999999999,0.19465652,0.9907299999999992,0.24268737,0.839696,0.25989544,4.237815999999995,,
0.88798505,0.9063869999999987,0.98529756,4.694839999999999,0.24537024,1.020944,0.2726816,0.04601999999999862,,
0.24785495,0.6306149999999988,0.19506627,0.4303130000000017,0.2464211,1.0942900000000009,0.2763094,2.1965200000000067,,
0.2563926,0.11533000000000015,0.19506627,1.7303129999999989,0.24022293,1.9887919999999966,0.26488832,9.228980000000007,,
0.28490353,2.362497000000001,0.18843216,0.7745000000000033,0.2448463,0.6580100000000044,0.307546,8.293189999999996,,
0.28115112,2.3580359999999985,0.22347577,0.5587069999999983,0.8282591,1.1886860000000041,0.3117312,7.115899999999996,,
0.17614247,1.7957249999999974,0.22347577,1.0430029999999988,0.21248408,1.7401599999999888,0.33425033,3.908913999999996,,
0.24785495,5.440424,0.22347577,0.358706999999999,0.7973609,2.6613400000000027,0.31262493,2.9746860000000055,,
0.15835679,4.315240000000003,0.21319827,0.6392060000000015,0.78458506,6.194614000000001,0.29270115,2.003150000000005,,
0.24785495,8.721719999999998,0.18849364,0.9756900000000002,0.7779826,4.787132999999997,0.99211615,1.538260000000001,,
