bar0_x,bar0_height,bar0_label,bar1_x,bar1_height,bar2_x,bar2_height,bar3_x,bar3_height
0,28.207689698795182,"Pb
($n$=83)",0,64.39860089156626,0,-0.0003325748096385542,0,0.41861224795180724
1,20.75790987405248,"Ca
($n$=343)",1,34.2019563819242,1,-0.003838903625218659,1,0.3660366917137026
2,20.373889958677687,"La
($n$=121)",2,21.803134795041323,2,-0.09616693138710743,2,0.07803880207380165
3,19.650554094339626,"Sr
($n$=159)",3,17.815222941761007,3,-0.06920888729540879,3,0.1524763403318239
4,21.200205676630436,"Ba
($n$=368)",4,12.625700367880434,4,-0.8806081275075001,4,0.06780024510081521
