scatter0_x,scatter0_y,line1_x,line1_y,scatter2_x,scatter2_y,ref_line_value,ref_line_label
1,0.9078942934672037,1,0.9078942934672037,98.0,0.9284184177716573,0.9284184177716573,
3,0.9078942934672037,3,0.9078942934672037,,,,
4,0.8765919804573059,4,0.9078942934672037,,,,
5,0.9195612867673238,5,0.9195612867673238,,,,
6,0.9018619855244955,6,0.9195612867673238,,,,
7,0.9185782472292582,7,0.9195612867673238,,,,
8,0.918345590432485,8,0.9195612867673238,,,,
9,0.9139547546704611,9,0.9195612867673238,,,,
10,0.9135966698328654,10,0.9195612867673238,,,,
11,0.9198195536931356,11,0.9198195536931356,,,,
12,0.9149689078330994,12,0.9198195536931356,,,,
13,0.9095914959907532,13,0.9198195536931356,,,,
14,0.9194173018137614,14,0.9198195536931356,,,,
15,0.9125937024752299,15,0.9198195536931356,,,,
16,0.9142826000849406,16,0.9198195536931356,,,,
17,0.9199274182319641,17,0.9199274182319641,,,,
18,0.9194513559341431,18,0.9199274182319641,,,,
19,0.9173822204271952,19,0.9199274182319641,,,,
20,0.9123738010724386,20,0.9199274182319641,,,,
21,0.9134825666745504,21,0.9199274182319641,,,,
22,0.8915567000706991,22,0.9199274182319641,,,,
23,0.9222662051518759,23,0.9222662051518759,,,,
24,0.9207307696342468,24,0.9222662051518759,,,,
25,0.9222480456034342,25,0.9222662051518759,,,,
26,0.9212885896364847,26,0.9222662051518759,,,,
27,0.9179016550381979,27,0.9222662051518759,,,,
28,0.907183845837911,28,0.9222662051518759,,,,
29,0.904820720354716,29,0.9222662051518759,,,,
30,0.906918446222941,30,0.9222662051518759,,,,
31,0.9179951747258505,31,0.9222662051518759,,,,
32,0.8472136855125427,32,0.9222662051518759,,,,
33,0.9219562609990438,33,0.9222662051518759,,,,
34,0.917831559975942,34,0.9222662051518759,,,,
35,0.9215371608734131,35,0.9222662051518759,,,,
36,0.9197811285654703,36,0.9222662051518759,,,,
37,0.9266923864682516,37,0.9266923864682516,,,,
38,0.9183665116628011,38,0.9266923864682516,,,,
39,0.9161954124768575,39,0.9266923864682516,,,,
40,0.8764130473136902,40,0.9266923864682516,,,,
41,0.9202312429745992,41,0.9266923864682516,,,,
42,0.925978402296702,42,0.9266923864682516,,,,
43,0.9236934383710226,43,0.9266923864682516,,,,
44,0.9253237843513489,44,0.9266923864682516,,,,
45,0.9255829850832621,45,0.9266923864682516,,,,
46,0.9250667691230774,46,0.9266923864682516,,,,
47,0.9237713813781738,47,0.9266923864682516,,,,
48,0.9187048474947611,48,0.9266923864682516,,,,
49,0.9228250583012899,49,0.9266923864682516,,,,
50,0.9231476187705994,50,0.9266923864682516,,,,
51,0.9222430189450582,51,0.9266923864682516,,,,
52,0.9184860388437907,52,0.9266923864682516,,,,
53,0.9190664688746134,53,0.9266923864682516,,,,
54,0.9245794812838236,54,0.9266923864682516,,,,
55,0.9199373920758566,55,0.9266923864682516,,,,
56,0.9255500833193461,56,0.9266923864682516,,,,
57,0.9228019714355469,57,0.9266923864682516,,,,
58,0.9195252656936646,58,0.9266923864682516,,,,
59,0.9166863958040873,59,0.9266923864682516,,,,
60,0.9195919434229533,60,0.9266923864682516,,,,
61,0.9164740045865377,61,0.9266923864682516,,,,
62,0.9239844878514608,62,0.9266923864682516,,,,
63,0.9257863958676656,63,0.9266923864682516,,,,
64,0.9218032956123352,64,0.9266923864682516,,,,
65,0.9209887584050497,65,0.9266923864682516,,,,
66,0.9243181149164835,66,0.9266923864682516,,,,
67,0.919194757938385,67,0.9266923864682516,,,,
68,0.9164244135220846,68,0.9266923864682516,,,,
69,0.9255392154057821,69,0.9266923864682516,,,,
70,0.9198310375213623,70,0.9266923864682516,,,,
71,0.9176992972691854,71,0.9266923864682516,,,,
72,0.9221668640772501,72,0.9266923864682516,,,,
73,0.9251926938692728,73,0.9266923864682516,,,,
74,0.916538675626119,74,0.9266923864682516,,,,
75,0.9251654942830404,75,0.9266923864682516,,,,
76,0.9258886973063151,76,0.9266923864682516,,,,
77,0.9168364405632019,77,0.9266923864682516,,,,
78,0.8889234662055969,78,0.9266923864682516,,,,
79,0.9203168948491415,79,0.9266923864682516,,,,
80,0.9261720776557922,80,0.9266923864682516,,,,
81,0.922527015209198,81,0.9266923864682516,,,,
82,0.8652955094973246,82,0.9266923864682516,,,,
83,0.9242169857025146,83,0.9266923864682516,,,,
84,0.9242035349210104,84,0.9266923864682516,,,,
85,0.9234256347020467,85,0.9266923864682516,,,,
86,0.9187301794687907,86,0.9266923864682516,,,,
87,0.9248748421669006,87,0.9266923864682516,,,,
88,0.9185040791829427,88,0.9266923864682516,,,,
89,0.9124596317609152,89,0.9266923864682516,,,,
90,0.9208695888519287,90,0.9266923864682516,,,,
91,0.9205627044041952,91,0.9266923864682516,,,,
92,0.9243770837783813,92,0.9266923864682516,,,,
93,0.9259119431177775,93,0.9266923864682516,,,,
94,0.926909069220225,94,0.926909069220225,,,,
95,0.9248844981193542,95,0.926909069220225,,,,
96,0.9253524939219157,96,0.926909069220225,,,,
97,0.9264105558395386,97,0.926909069220225,,,,
98,0.9284184177716573,98,0.9284184177716573,,,,
99,0.9276974002520243,99,0.9284184177716573,,,,
100,0.9264190991719564,100,0.9284184177716573,,,,
