bar0_x,bar0_height,bar0_label,bar1_x,bar1_height
-0.19,1.0,Ia,0.19,0.3803747892379761
0.81,1.5,Ib,1.19,0.5747510194778442
1.81,0.9,II,2.19,1.3441118001937866
2.81,0.7,III,3.19,1.5158946514129639
