line0_x,line0_y,line1_x,line1_y,line2_x,line2_y
0.77,0.77,0.8,0.8017241379310345,0.8,0.8017241379310345
0.7721212121212121,0.7721212121212121,0.85,0.853448275862069,0.85,0.853448275862069
0.7742424242424243,0.7742424242424243,0.9,0.9051724137931034,0.9,0.9051724137931034
0.7763636363636364,0.7763636363636364,0.95,0.9568965517241379,0.95,0.9568965517241379
0.7784848484848486,0.7784848484848486,,,,
0.7806060606060606,0.7806060606060606,,,,
0.7827272727272727,0.7827272727272727,,,,
0.7848484848484849,0.7848484848484849,,,,
0.786969696969697,0.786969696969697,,,,
0.7890909090909091,0.7890909090909091,,,,
0.7912121212121213,0.7912121212121213,,,,
0.7933333333333333,0.7933333333333333,,,,
0.7954545454545454,0.7954545454545454,,,,
0.7975757575757576,0.7975757575757576,,,,
0.7996969696969697,0.7996969696969697,,,,
0.8018181818181819,0.8018181818181819,,,,
0.803939393939394,0.803939393939394,,,,
0.806060606060606,0.806060606060606,,,,
0.8081818181818182,0.8081818181818182,,,,
0.8103030303030303,0.8103030303030303,,,,
0.8124242424242425,0.8124242424242425,,,,
0.8145454545454546,0.8145454545454546,,,,
0.8166666666666667,0.8166666666666667,,,,
0.8187878787878788,0.8187878787878788,,,,
0.8209090909090909,0.8209090909090909,,,,
0.823030303030303,0.823030303030303,,,,
0.8251515151515152,0.8251515151515152,,,,
0.8272727272727273,0.8272727272727273,,,,
0.8293939393939394,0.8293939393939394,,,,
0.8315151515151515,0.8315151515151515,,,,
0.8336363636363636,0.8336363636363636,,,,
0.8357575757575758,0.8357575757575758,,,,
0.8378787878787879,0.8378787878787879,,,,
0.84,0.84,,,,
0.8421212121212122,0.8421212121212122,,,,
0.8442424242424242,0.8442424242424242,,,,
0.8463636363636364,0.8463636363636364,,,,
0.8484848484848485,0.8484848484848485,,,,
0.8506060606060606,0.8506060606060606,,,,
0.8527272727272728,0.8527272727272728,,,,
0.8548484848484849,0.8548484848484849,,,,
0.8569696969696969,0.8569696969696969,,,,
0.8590909090909091,0.8590909090909091,,,,
0.8612121212121212,0.8612121212121212,,,,
0.8633333333333333,0.8633333333333333,,,,
0.8654545454545455,0.8654545454545455,,,,
0.8675757575757576,0.8675757575757576,,,,
0.8696969696969697,0.8696969696969697,,,,
0.8718181818181818,0.8718181818181818,,,,
0.8739393939393939,0.8739393939393939,,,,
0.8760606060606061,0.8760606060606061,,,,
0.8781818181818182,0.8781818181818182,,,,
0.8803030303030304,0.8803030303030304,,,,
0.8824242424242424,0.8824242424242424,,,,
0.8845454545454545,0.8845454545454545,,,,
0.8866666666666667,0.8866666666666667,,,,
0.8887878787878788,0.8887878787878788,,,,
0.8909090909090909,0.8909090909090909,,,,
0.8930303030303031,0.8930303030303031,,,,
0.8951515151515151,0.8951515151515151,,,,
0.8972727272727272,0.8972727272727272,,,,
0.8993939393939394,0.8993939393939394,,,,
0.9015151515151515,0.9015151515151515,,,,
0.9036363636363636,0.9036363636363636,,,,
0.9057575757575758,0.9057575757575758,,,,
0.907878787878788,0.907878787878788,,,,
0.91,0.91,,,,
0.9121212121212121,0.9121212121212121,,,,
0.9142424242424243,0.9142424242424243,,,,
0.9163636363636364,0.9163636363636364,,,,
0.9184848484848485,0.9184848484848485,,,,
0.9206060606060606,0.9206060606060606,,,,
0.9227272727272727,0.9227272727272727,,,,
0.9248484848484848,0.9248484848484848,,,,
0.926969696969697,0.926969696969697,,,,
0.9290909090909091,0.9290909090909091,,,,
0.9312121212121212,0.9312121212121212,,,,
0.9333333333333333,0.9333333333333333,,,,
0.9354545454545454,0.9354545454545454,,,,
0.9375757575757575,0.9375757575757575,,,,
0.9396969696969697,0.9396969696969697,,,,
0.9418181818181819,0.9418181818181819,,,,
0.943939393939394,0.943939393939394,,,,
0.946060606060606,0.946060606060606,,,,
0.9481818181818182,0.9481818181818182,,,,
0.9503030303030303,0.9503030303030303,,,,
0.9524242424242424,0.9524242424242424,,,,
0.9545454545454546,0.9545454545454546,,,,
0.9566666666666667,0.9566666666666667,,,,
0.9587878787878787,0.9587878787878787,,,,
0.9609090909090909,0.9609090909090909,,,,
0.963030303030303,0.963030303030303,,,,
0.9651515151515151,0.9651515151515151,,,,
0.9672727272727273,0.9672727272727273,,,,
0.9693939393939394,0.9693939393939394,,,,
0.9715151515151514,0.9715151515151514,,,,
0.9736363636363636,0.9736363636363636,,,,
0.9757575757575758,0.9757575757575758,,,,
0.9778787878787879,0.9778787878787879,,,,
0.98,0.98,,,,
