line0_x,line0_y,line1_x,line1_y
0.77,0.77,0.8,0.8017241379310345
0.7744897959183674,0.7744897959183674,0.85,0.853448275862069
0.7789795918367347,0.7789795918367347,0.9,0.9051724137931034
0.7834693877551021,0.7834693877551021,0.95,0.9568965517241379
0.7879591836734694,0.7879591836734694,,
0.7924489795918368,0.7924489795918368,,
0.7969387755102041,0.7969387755102041,,
0.8014285714285715,0.8014285714285715,,
0.8059183673469388,0.8059183673469388,,
0.8104081632653062,0.8104081632653062,,
0.8148979591836735,0.8148979591836735,,
0.8193877551020409,0.8193877551020409,,
0.8238775510204082,0.8238775510204082,,
0.8283673469387756,0.8283673469387756,,
0.8328571428571429,0.8328571428571429,,
0.8373469387755103,0.8373469387755103,,
0.8418367346938775,0.8418367346938775,,
0.8463265306122449,0.8463265306122449,,
0.8508163265306122,0.8508163265306122,,
0.8553061224489796,0.8553061224489796,,
0.8597959183673469,0.8597959183673469,,
0.8642857142857143,0.8642857142857143,,
0.8687755102040816,0.8687755102040816,,
0.873265306122449,0.873265306122449,,
0.8777551020408163,0.8777551020408163,,
0.8822448979591837,0.8822448979591837,,
0.886734693877551,0.886734693877551,,
0.8912244897959184,0.8912244897959184,,
0.8957142857142857,0.8957142857142857,,
0.9002040816326531,0.9002040816326531,,
0.9046938775510204,0.9046938775510204,,
0.9091836734693878,0.9091836734693878,,
0.9136734693877551,0.9136734693877551,,
0.9181632653061225,0.9181632653061225,,
0.9226530612244898,0.9226530612244898,,
0.9271428571428572,0.9271428571428572,,
0.9316326530612244,0.9316326530612244,,
0.9361224489795918,0.9361224489795918,,
0.9406122448979591,0.9406122448979591,,
0.9451020408163265,0.9451020408163265,,
0.9495918367346938,0.9495918367346938,,
0.9540816326530612,0.9540816326530612,,
0.9585714285714285,0.9585714285714285,,
0.9630612244897959,0.9630612244897959,,
0.9675510204081632,0.9675510204081632,,
0.9720408163265306,0.9720408163265306,,
0.9765306122448979,0.9765306122448979,,
0.9810204081632653,0.9810204081632653,,
0.9855102040816326,0.9855102040816326,,
0.99,0.99,,
