hist0_values,bar1_x,bar1_height,line2_x,line2_y
8.548090000000002,-17.213979600000002,2.0,-23.352116000000002,0.23177285019327654
10.532322,-14.9377068,3.0,-23.166412133779268,0.2474490211826647
0.7036549999999977,-12.661434000000003,7.0,-22.98070826755853,0.2640441728231608
3.511490000000002,-10.385161200000002,3.0,-22.795004401337795,0.28160159042230776
-1.903020000000005,-8.108888400000001,5.0,-22.609300535117058,0.30016585462696316
6.414270000000002,-5.832615600000001,10.0,-22.423596668896323,0.3197828290465255
2.8965379999999996,-3.556342800000002,15.0,-22.23789280267559,0.340499643514591
0.9418140000000008,-1.280070000000002,12.0,-22.05218893645485,0.3623646727570129
0.3964300000000023,0.996202799999999,28.0,-21.866485070234116,0.38542751023689603
-6.194614000000001,3.2724756,8.0,-21.680781204013382,0.4097389369507412
-4.787132999999997,5.548748399999999,10.0,-21.495077337792644,0.43535088495489627
5.522539999999999,7.825021199999998,3.0,-21.30937347157191,0.46231639540770814
-4.550525999999998,10.101294,2.0,-21.12366960535117,0.49068957092033333
7.463822999999998,12.377566799999999,1.0,-20.937965739130437,0.5205255220181383
-1.1487959999999973,14.653839599999998,3.0,-20.752261872909703,0.5518803075250087
0.4336399999999969,16.9301124,0.0,-20.566558006688965,0.5848108686947657
-5.5233499999999935,19.2063852,1.0,-20.38085414046823,0.6193749569272401
-8.650710000000004,21.482658,1.0,-20.195150274247496,0.6556310549214875
19.959580000000003,23.7589308,1.0,-20.009446408026758,0.6936382911350272
2.5393899999999974,26.0352036,1.0,-19.823742541806023,0.733456347436039
1.3492899999999963,,,-19.638038675585285,0.7751453598549839
-0.4578599999999966,,,-19.45233480936455,0.8187658123632511
3.080444,,,-19.266630943143817,0.8643784236291071
5.7816899999999976,,,-19.08092707692308,0.9120440267253762
15.374340000000004,,,-18.895223210702344,0.9618234417889897
10.952579999999998,,,-18.709519344481606,1.0137773416596332
3.7342000000000013,,,-18.52381547826087,1.0679661105532239
-11.820509999999999,,,-18.338111612040137,1.124449695855791
0.358239999999995,,,-18.1524077458194,1.1832874531544224
-3.3835049999999995,,,-17.966703879598665,1.2445379846541362
-1.4402800000000013,,,-17.781000013377927,1.3082589711629657
3.6196899999999985,,,-17.595296147157192,1.3745069978616686
14.629757000000001,,,-17.409592280936458,1.4433373741097617
5.618203999999999,,,-17.22388841471572,1.5148039475752866
12.588456999999998,,,-17.038184548494986,1.5889589130121793
0.22472600000000043,,,-16.852480682274248,1.6658526160459886
6.274574000000001,,,-16.666776816053513,1.7455333523656662
0.07499000000000322,,,-16.48107294983278,1.8280471627565098
-1.98067,,,-16.295369083612044,1.9134376244462532
-11.011555000000001,,,-16.109665217391306,2.001745639273325
-10.515230000000003,,,-15.923961351170572,2.0930092192224796
4.735576,,,-15.738257484949834,2.1872632699088714
-13.291013999999997,,,-15.5525536187291,2.2845393726262997
-4.268556000000004,,,-15.366849752508363,2.384865565609249
-4.947833000000003,,,-15.181145886287627,2.488266125190627
-6.125084999999999,,,-14.995442020066893,2.5947613475681486
-3.463329999999999,,,-14.809738153846157,2.7043673319213766
