hist0_values,bar1_x,bar1_height,ref_line_value,ref_line_label
0.4802140511761289,0.5426984126106346,1.0,1.0,
2.2727537218053606,0.667667135479646,6.0,1.9157262713057803,
2.2275769666128444,0.7926358583486572,26.0,,
2.023528690084626,0.9176045812176685,26.0,,
1.89946630674533,1.0425733040866798,45.0,,
2.7027076171227025,1.1675420269556913,76.0,,
2.3811288304710816,1.2925107498247026,90.0,,
2.213424809388755,1.4174794726937139,79.0,,
2.2322177519599546,1.5424481955627252,46.0,,
2.0186291048786105,1.6674169184317365,62.0,,
1.8788199338459242,1.7923856413007477,86.0,,
2.8514805134780805,1.917354364169759,50.0,,
2.481986957728605,2.0423230870387705,61.0,,
2.25449867183102,2.167291809907782,51.0,,
2.2275769666128444,2.292260532776793,41.0,,
2.0137295196725944,2.417229255645805,34.0,,
1.8788199338459242,2.5421979785148157,37.0,,
1.4878540841393548,2.6671667013838274,34.0,,
1.6241771163398944,2.7921354242528382,27.0,,
2.4425207340191393,2.91710414712185,24.0,,
2.8018895480262875,3.042072869990861,20.0,,
3.141669173020518,3.1670415928598725,27.0,,
3.146278475764535,3.2920103157288834,18.0,,
3.1857136382283318,3.416979038597895,10.0,,
3.081675803835425,3.541947761466906,12.0,,
2.8816660409849275,3.6669164843359177,4.0,,
2.8869143677686404,3.791885207204929,8.0,,
2.7862960245199764,3.9168539300739402,8.0,,
2.7845720819590474,4.041822652942952,17.0,,
2.6725539901050492,4.166791375811963,14.0,,
2.5303113730889297,4.2917600986809745,13.0,,
1.4706991865709869,4.416728821549986,12.0,,
1.332850594593906,4.541697544418997,12.0,,
1.6407831263951551,4.666666267288009,9.0,,
1.3503016612491276,4.79163499015702,6.0,,
1.3002756212809796,4.916603713026031,7.0,,
1.2696642992655514,5.041572435895043,3.0,,
1.0567709427846095,5.166541158764054,3.0,,
2.697049832041222,5.291509881633065,3.0,,
2.536884713330088,5.4164786045020765,6.0,,
2.110965190305332,5.541447327371088,4.0,,
2.115009184922775,5.666416050240099,3.0,,
2.119053179540218,5.791384773109111,0.0,,
2.1028772010704455,5.916353495978122,1.0,,
1.930960936494507,,,,
1.9351046294912766,,,,
1.9392483224880457,,,,
1.9268172434977378,,,,
1.7431305918071516,,,,
2.5485217991710516,,,,
1.7473410521738355,,,,
1.7952598207315449,,,,
1.6858968593488344,,,,
2.0014371453121154,,,,
1.878965815555987,,,,
1.8192700138819962,,,,
1.8465339128617377,,,,
1.869644456782332,,,,
1.855270398298368,,,,
1.8554656912477854,,,,
1.9664699078975874,,,,
