line0_x,line0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y,scatter4_x,scatter4_y,scatter5_x,scatter5_y
0.0,0.0,68.4000015258789,63.91584777832031,8.5,32.23423767089844,39.5,28.12653350830078,41.0,42.81182098388672,22.0,25.32405662536621
150.0,150.0,108.5,73.7099609375,49.79999923706055,50.618896484375,38.95000076293945,57.648170471191406,39.0,40.0980224609375,26.0,31.688867568969727
,,94.3000030517578,70.61438751220703,48.0,49.33405303955078,37.099998474121094,43.70981979370117,35.79999923706055,34.587791442871094,29.0,35.47669219970703
,,81.19999694824219,67.0654296875,41.29999923706055,45.43146514892578,45.0,38.124366760253906,36.0,34.30521774291992,33.0,37.10502624511719
,,67.19999694824219,63.0401611328125,36.79999923706055,42.01829528808594,44.5,35.76548767089844,43.70000076293945,49.41600036621094,34.0,38.9622802734375
,,100.0999984741211,73.57608032226562,65.4000015258789,59.37844467163086,44.0,33.235626220703125,43.5,37.92747497558594,39.0,45.28089141845703
,,86.80000305175781,66.92479705810547,54.29999923706055,53.934295654296875,43.0,33.44014358520508,34.29999923706055,41.97643280029297,46.0,71.22755432128906
,,70.0999984741211,62.92312240600586,48.5,50.67223358154297,40.0,33.436973571777344,38.20000076293945,44.773494720458984,34.0,35.873165130615234
,,126.6999969482422,77.29460144042969,48.099998474121094,49.38287353515625,40.0,33.269187927246094,46.20000076293945,40.94805145263672,71.9000015258789,77.24717712402344
,,90.5999984741211,73.96429443359375,41.20000076293945,45.46921157836914,39.0,33.70291519165039,45.20000076293945,48.82167434692383,67.5999984741211,72.22796630859375
,,86.30000305175781,71.18099975585938,36.400001525878906,42.04970932006836,38.900001525878906,33.16722869873047,34.900001525878906,32.612022399902344,66.9000015258789,66.64344787597656
,,82.5,67.87132263183594,69.0,59.654422760009766,37.0,35.72651672363281,33.70000076293945,34.39253234863281,38.70000076293945,35.60239791870117
,,68.69999694824219,64.0171127319336,56.599998474121094,54.133995056152344,36.0,30.34998893737793,46.099998474121094,44.256195068359375,62.599998474121094,61.97602081298828
,,128.39999389648438,77.24505615234375,49.400001525878906,50.83161926269531,40.0,40.393760681152344,48.29999923706055,36.37725830078125,60.70000076293945,57.170875549316406
,,97.0999984741211,73.86747741699219,48.0,49.528221130371094,36.0,39.661041259765625,50.0,57.45836639404297,57.70000076293945,53.24365234375
,,89.19999694824219,71.07490539550781,41.099998474121094,45.57994842529297,44.0,38.954490661621094,113.0,87.58938598632812,53.900001525878906,47.38958740234375
,,85.30000305175781,67.76089477539062,36.400001525878906,42.140625,35.0,37.68364715576172,123.0,70.63214111328125,44.900001525878906,39.307247161865234
,,96.5,70.4708251953125,37.20000076293945,44.906742095947266,35.0,38.139678955078125,143.0,74.30659484863281,39.599998474121094,35.661476135253906
,,129.0,111.89588928222656,45.599998474121094,34.766719818115234,34.0,37.88286590576172,136.0,72.79145812988281,34.400001525878906,31.807113647460938
,,127.0,110.1443328857422,40.29999923706055,44.02121353149414,28.0,35.42997360229492,53.5,60.414451599121094,70.4000015258789,77.20530700683594
,,101.0,105.26893615722656,37.900001525878906,43.57366943359375,27.0,43.637245178222656,60.79999923706055,50.48919677734375,68.0,72.22796630859375
,,73.0,104.7169189453125,45.79999923706055,43.49195861816406,38.0,32.87051010131836,45.099998474121094,46.10063171386719,66.69999694824219,66.53599548339844
,,112.0,111.13654327392578,52.0,43.523345947265625,41.86000061035156,27.156055450439453,41.099998474121094,54.88818359375,65.30000305175781,61.97602081298828
,,132.0,95.6106948852539,55.70000076293945,53.86780548095703,38.0,39.05119323730469,42.20000076293945,54.85628890991211,60.79999923706055,57.170875549316406
,,140.39999389648438,78.23617553710938,67.80000305175781,59.28667449951172,42.0,33.07606506347656,43.29999923706055,54.82437896728515,53.099998474121094,47.38958740234375
,,102.8000030517578,69.37054443359375,48.0,27.000587463378903,40.0,33.36302947998047,43.099998474121094,54.79242706298828,46.29999923706055,39.37419128417969
,,95.0,68.01280975341797,38.0,28.805917739868164,52.0,40.005001068115234,68.69999694824219,49.28089904785156,40.0,35.661476135253906
,,90.5999984741211,66.58024597167969,65.4000015258789,58.92498779296875,39.0,29.594999313354492,57.5,41.72631072998047,36.599998474121094,31.807113647460938
,,88.9000015258789,65.83560943603516,52.20000076293945,53.01634979248047,41.400001525878906,37.741180419921875,80.0999984741211,60.52899932861328,29.399999618530273,35.77983093261719
,,81.0,69.74874877929688,52.29999923706055,53.080543518066406,40.099998474121094,37.92560577392578,57.0,60.57682418823242,34.20000076293945,35.77983093261719
,,118.0,92.9730224609375,52.400001525878906,53.24910736083984,38.20000076293945,38.414588928222656,33.400001525878906,32.731719970703125,35.099998474121094,35.720619201660156
