scatter0_x,scatter0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y
4.0974026,-1.273861,-0.36170653,-1.3661705,0.80534536,-0.57086104,4.017973,0.5354242
3.0969243,-1.3442535,0.15430467,3.6210344,1.1506662,-0.65840405,1.5820909,-2.805115
3.0979671,-1.3344487,0.70706475,0.6214092,2.1474228,-0.7761635,0.6302412,4.748989
3.3199437,-1.5183982,-0.42954364,-2.7374244,2.9669693,-0.7176448,-1.2208827,4.8326426
3.0979671,-1.3344487,-0.111614466,-2.7348967,-1.471946,0.47638145,-1.270731,4.8294578
3.3199437,-1.5183982,0.20515014,-2.6844711,-0.094112396,-0.21930258,-1.3163557,4.8431654
3.0996835,-1.3150584,1.1680453,-2.0793488,0.8174904,-0.5463178,-1.3569818,4.8584647
3.0996835,-1.3150584,1.2813852,-2.1759434,1.1681811,-0.6342844,-2.5246575,2.4339852
3.0988882,-1.3247173,1.5542109,-2.0308812,2.178293,-0.7504648,-3.3215044,1.8965716
3.0988882,-1.3247173,2.6729388,-1.6559907,3.00531,-0.6887584,-2.0338378,1.5610123
3.0979671,-1.3344487,0.26430896,0.477425,-1.5409592,0.559456,-1.7286814,1.8423988
3.0979671,-1.3344487,-1.7718136,2.080139,-0.09999114,-0.1466248,-1.399776,2.9242895
3.0969243,-1.3442535,-1.7256548,-1.6865934,0.8537022,-0.4814834,-0.9316712,2.795874
3.0560603,3.0570102,0.22604018,-1.4032748,1.2189991,-0.5700813,-0.4278384,2.5404603
2.993,3.0379112,0.10106038,-1.2455337,2.265198,-0.6795067,0.24830982,5.5273576
2.8073409,2.711243,-3.1247852,-0.7811711,3.112444,-0.60648805,-1.4893581,2.1615968
2.0179217,-3.0797384,-1.917963,-0.4367406,-0.09112746,-0.24686986,1.9521478,5.0103464
3.4552238,3.2253993,-1.1549475,-1.0524384,-1.4478585,0.445527,-0.08579522,-1.1647733
3.4441445,3.1825607,-1.2158865,-1.7072766,-0.8107644,2.4965162,0.91252166,-0.82741314
3.4119258,3.0821266,-1.190003,-2.1157084,1.3979177,2.2643232,1.0521334,-0.7708803
3.3669035,2.9536145,-1.0997741,-2.404811,1.5194806,2.045495,1.3169425,-0.65049213
3.1810167,2.5621204,-0.96561027,-2.5427964,1.5457691,1.8854631,-0.7367179,4.679314
3.0512633,2.3827827,0.5095994,-4.1041446,1.1894315,1.4219615,0.09689575,4.6727195
4.0376334,-1.5969977,-2.7254024,1.6828322,1.3098651,1.3379111,-0.19823334,4.627196
4.0004506,4.346702,2.6704419,-1.5203222,1.2669795,1.041739,1.9634721,5.0324197
4.4810133,4.5750027,1.2201967,-2.9837356,1.364498,1.2968853,-2.0177143,0.9725636
3.9728878,-2.066779,0.86025745,-3.2083495,-1.161959,0.20445335,1.828021,-2.5703523
