band0_x,band0_lo,band0_hi,line1_x,line1_y,scatter2_x,scatter2_y
0.0,-14.376824879310348,14.376824879310348,0.0,0.0,45.6,37.05191
0.7286432160804021,-13.648181663229947,15.10546809539075,0.7286432160804021,0.7286432160804021,48.0,37.467678
1.4572864321608041,-12.919538447149543,15.834111311471153,1.4572864321608041,1.4572864321608041,38.0,37.296345
2.1859296482412063,-12.190895231069142,16.562754527551554,2.1859296482412063,2.1859296482412063,43.5,39.98851
2.9145728643216082,-11.46225201498874,17.291397743631958,2.9145728643216082,2.9145728643216082,45.3,47.20302
3.64321608040201,-10.733608798908339,18.020040959712357,3.64321608040201,3.64321608040201,46.0,39.58573
4.371859296482413,-10.004965582827936,18.74868417579276,4.371859296482413,4.371859296482413,43.0,40.103462
5.100502512562814,-9.276322366747534,19.47732739187316,5.100502512562814,5.100502512562814,40.0,39.058186
5.8291457286432165,-8.547679150667133,20.205970607953564,5.8291457286432165,5.8291457286432165,38.0,37.60357
6.557788944723619,-7.819035934586729,20.934613824033967,6.557788944723619,6.557788944723619,34.3,40.494614
7.28643216080402,-7.090392718506328,21.663257040114367,7.28643216080402,7.28643216080402,38.2,42.987133
8.015075376884422,-6.361749502425926,22.39190025619477,8.015075376884422,8.015075376884422,46.2,40.67746
8.743718592964825,-5.633106286345523,23.120543472275173,8.743718592964825,8.743718592964825,45.2,49.750526
9.472361809045227,-4.9044630702651215,23.849186688355573,9.472361809045227,9.472361809045227,58.85,51.386177
10.201005025125628,-4.17581985418472,24.577829904435976,10.201005025125628,10.201005025125628,44.0,45.148796
10.929648241206031,-3.4471766381043167,25.30647312051638,10.929648241206031,10.929648241206031,119.0,118.56636
11.658291457286433,-2.7185334220239152,26.03511633659678,11.658291457286433,11.658291457286433,107.0,112.52335
12.386934673366834,-1.9898902059435137,26.763759552677183,12.386934673366834,12.386934673366834,98.0,106.65071
13.115577889447238,-1.2612469898631105,27.492402768757586,13.115577889447238,13.115577889447238,141.0,121.04042
13.84422110552764,-0.532603773782709,28.221045984837986,13.84422110552764,13.84422110552764,117.0,114.46061
14.57286432160804,0.19603944229769255,28.94968920091839,14.57286432160804,14.57286432160804,108.0,106.65071
15.301507537688444,0.9246826583780958,29.678332416998792,15.301507537688444,15.301507537688444,100.0,100.45786
16.030150753768844,1.6533258744584955,30.406975633079192,16.030150753768844,16.030150753768844,99.0,95.919556
16.758793969849247,2.381969090538899,31.135618849159595,16.758793969849247,16.758793969849247,98.0,92.21831
17.48743718592965,3.110612306619302,31.86426206524,17.48743718592965,17.48743718592965,102.0,86.62566
18.21608040201005,3.839255522699702,32.5929052813204,18.21608040201005,18.21608040201005,94.0,83.04742
18.944723618090453,4.567898738780105,33.3215484974008,18.944723618090453,18.944723618090453,82.0,78.2658
19.673366834170857,5.296541954860508,34.050191713481205,19.673366834170857,19.673366834170857,93.0,104.82051
20.402010050251256,6.025185170940908,34.778834929561604,20.402010050251256,20.402010050251256,112.96,112.60176
21.13065326633166,6.753828387021311,35.50747814564201,21.13065326633166,21.13065326633166,103.35,106.733505
21.859296482412063,7.482471603101715,36.23612136172241,21.859296482412063,21.859296482412063,100.08,101.52028
22.587939698492463,8.211114819182114,36.96476457780281,22.587939698492463,22.587939698492463,45.0,41.38031
23.316582914572866,8.939758035262518,37.69340779388321,23.316582914572866,23.316582914572866,42.0,27.370243
24.04522613065327,9.668401251342921,38.42205100996362,24.04522613065327,24.04522613065327,49.4,43.781796
24.77386934673367,10.39704446742332,39.15069422604402,24.77386934673367,24.77386934673367,54.9,42.311543
25.502512562814072,11.125687683503724,39.879337442124424,25.502512562814072,25.502512562814072,24.5,24.275274
26.231155778894475,11.854330899584127,40.60798065820482,26.231155778894475,26.231155778894475,29.6,23.325426
26.959798994974875,12.582974115664527,41.33662387428522,26.959798994974875,26.959798994974875,20.76,20.68501
27.68844221105528,13.31161733174493,42.06526709036562,27.68844221105528,27.68844221105528,18.6,20.58067
28.41708542713568,14.040260547825334,42.79391030644603,28.41708542713568,28.41708542713568,34.0,45.011555
29.14572864321608,14.768903763905733,43.52255352252643,29.14572864321608,29.14572864321608,36.0,46.51523
29.874371859296485,15.497546979986137,44.251196738606836,29.874371859296485,29.874371859296485,17.0,12.264424
30.603015075376888,16.22619019606654,44.979839954687236,30.603015075376888,30.603015075376888,25.1,38.391014
31.331658291457288,16.95483341214694,45.708483170767636,31.331658291457288,31.331658291457288,34.9,39.168556
32.06030150753769,17.68347662822734,46.437126386848036,32.06030150753769,32.06030150753769,34.3,39.247833
32.788944723618094,18.412119844307746,47.16576960292844,32.788944723618094,32.788944723618094,33.2,39.325085
33.517587939698494,19.140763060388146,47.89441281900884,33.517587939698494,33.517587939698494,34.5,37.96333
34.246231155778894,19.869406276468546,48.62305603508924,34.246231155778894,34.246231155778894,20.35,20.082336
34.9748743718593,20.598049492548952,49.35169925116965,34.9748743718593,34.9748743718593,33.0,36.791862
35.7035175879397,21.326692708629352,50.08034246725005,35.7035175879397,35.7035175879397,40.0,38.782627
36.4321608040201,22.055335924709752,50.80898568333045,36.4321608040201,36.4321608040201,21.1,19.889471
37.16080402010051,22.78397914079016,51.537628899410855,37.16080402010051,37.16080402010051,20.9,19.618038
37.88944723618091,23.51262235687056,52.266272115491255,37.88944723618091,37.88944723618091,17.0,34.57849
38.618090452261306,24.241265572950958,52.994915331571654,38.618090452261306,38.618090452261306,27.5,21.698063
39.34673366834171,24.969908789031365,53.72355854765206,39.34673366834171,39.34673366834171,20.69,33.140873
40.07537688442211,25.698552005111765,54.45220176373246,40.07537688442211,40.07537688442211,19.96,31.975946
40.80402010050251,26.427195221192164,55.18084497981286,40.80402010050251,40.80402010050251,23.31,31.215464
41.53266331658292,27.15583843727257,55.90948819589327,41.53266331658292,41.53266331658292,21.55,30.708752
42.26130653266332,27.88448165335297,56.63813141197367,42.26130653266332,42.26130653266332,22.6,21.26384
42.98994974874372,28.61312486943337,57.36677462805407,42.98994974874372,42.98994974874372,21.9,21.217093
43.718592964824126,29.341768085513777,58.095417844134474,43.718592964824126,43.718592964824126,22.6,21.783733
44.447236180904525,30.070411301594177,58.82406106021487,44.447236180904525,44.447236180904525,22.88,19.527973
