x,height,ref_line_value,ref_line_label
1,0.9025478363037109,0.8927946925163269,Mean $R^2$ = 0.893
2,0.9252274632453918,,
3,0.884512186050415,,
4,0.9378395080566406,,
5,0.8138464689254761,,
