scatter0_x,scatter0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y
0.54992723,22.417439,0.8640531,37.792976,0.6974134,48.21366,0.07615571,18.425823
0.9306849,35.823246,1.4913998,37.53063,0.74171466,45.933407,0.84534174,36.104156
0.92020655,35.84801,1.7652534,35.020798,0.9176016,39.77038,3.818204,37.05191
1.0183442,32.409176,0.7742373,40.510113,1.017365,35.044006,1.8432815,44.450775
0.92020655,35.84801,0.8335057,39.223656,1.6426044,66.03942,1.7110115,44.048428
1.0183442,32.409176,0.9261622,37.987045,0.8532227,54.737343,1.7930518,43.748714
0.8994854,35.897263,0.9213766,34.958748,0.7742334,48.266804,1.9460975,43.48935
0.8994854,35.897263,0.8647227,35.202633,0.80157304,45.953957,1.2319418,43.067047
0.90980536,35.87268,0.93757385,34.456932,0.94259816,39.71387,0.815507,40.875904
0.90980536,35.87268,0.4919551,29.43873,1.0303893,34.944263,3.0262833,36.658295
0.92020655,35.84801,1.5682132,27.49909,1.9803274,66.80379,1.6363978,36.590313
0.92020655,35.84801,0.94244313,42.298412,1.1740912,55.123066,1.0631105,44.30557
0.9306849,35.823246,1.5032899,40.09371,0.9926727,48.374016,0.9988736,43.21682
4.0438833,30.325718,1.4914356,38.80298,0.96765417,45.96589,1.1452299,41.635216
1.9330298,23.865429,1.4121939,39.994595,0.99933445,39.499073,1.8843158,37.467678
1.3690151,24.173971,1.7119383,47.268463,1.0495769,34.6034,1.7039337,36.338505
0.9833337,24.67218,1.2952689,38.28408,0.74448866,54.589134,1.4531382,37.296345
1.5999174,23.42999,1.2760139,39.752705,1.5267111,65.767136,1.4321936,47.20302
1.5633436,22.698603,1.5284472,37.743977,1.0846137,41.546608,1.2401443,44.423065
1.5505657,22.40363,1.5299737,36.284668,1.1871161,40.138355,1.1841338,43.80479
1.5262266,23.004305,1.4505835,35.06587,1.1161432,38.919624,1.0912522,42.662144
2.692141,20.788609,1.4787663,34.244884,1.0065621,38.158325,1.1396073,39.58573
3.5885625,24.376017,0.89683926,44.747925,1.0481952,37.385796,1.1141092,40.103462
0.5277566,21.5941,0.3602242,44.04253,1.0714059,36.74372,1.0360675,39.058186
1.8709936,16.847744,0.24567336,26.358042,0.52598995,36.02114,1.469813,37.60357
3.2215483,18.434439,0.36322474,30.68867,1.1494253,36.6307,2.4314969,60.994007
0.6073343,18.26173,0.43700957,32.294834,1.4028623,64.32998,0.70706356,32.11527
0.66701335,16.669287,0.5466612,34.075817,0.94653386,50.84762,1.229562,31.604961
2.3347306,22.749136,0.80024815,37.255383,0.93151635,50.808613,1.229562,31.604961
1.1136026,22.019701,1.3895248,46.18876,0.90658486,50.731434,1.219976,30.755304
1.1093949,21.510433,1.5691022,33.896706,0.90192336,50.682304,1.229562,31.604961
0.5946099,22.456995,1.2624229,33.95157,0.72829425,45.076775,0.6044887,26.298111
0.8309162,17.168709,0.61822337,30.69804,0.7452267,44.953197,0.85647714,29.056131
1.1055064,21.028946,0.93747413,32.6702,0.8024649,44.66717,1.5561554,34.715363
1.0956708,19.730324,1.1022662,34.527405,0.8774187,44.41604,2.5300114,49.120533
1.1150107,21.809307,0.83738846,34.081627,0.85705304,41.861633,1.7073922,46.78518
1.1210828,21.317411,0.8632084,34.393074,1.5334285,63.99767,1.8447864,43.660492
0.79245776,17.856176,0.80993354,29.644245,0.9598716,41.318798,1.1032155,40.976086
0.85294425,18.25444,1.3332613,31.508905,1.2368249,39.98851,0.9192869,41.682556
0.8996666,17.90437,1.9266865,35.598946,0.64863104,40.131096,2.0145383,53.16439
1.664434,32.805763,1.8615556,42.427025,1.3765378,47.335857,1.4288924,45.392418
1.4071113,21.656336,1.7355293,34.559544,1.0382836,44.57718,2.8953977,115.903305
1.2199692,24.78476,0.80236197,33.301033,1.25255,43.04156,2.6755736,117.8371
1.4146985,22.132725,1.7066473,49.837082,1.3179613,44.78599,3.7729158,104.25017
0.61143243,22.428547,2.2795653,38.891106,1.286582,43.653904,5.47511,97.61637
0.6881633,17.71764,0.83013177,35.691692,1.6578846,63.651917,3.551316,113.67246
0.7535465,18.104897,2.3543746,40.67746,0.8033541,41.04837,5.4141846,78.949905
0.7535465,18.104897,0.6642688,29.490362,0.80791086,39.71641,3.0928419,71.91089
2.1079972,19.159235,0.7411089,28.979437,0.5859934,22.646872,1.3451467,96.308655
1.4222265,22.636126,0.7470611,28.843939,0.68907547,24.872242,1.5658458,124.026535
2.4499104,16.750263,0.74871856,29.20927,0.7651349,28.540304,1.04403,122.762184
0.75746363,21.706387,2.8236525,38.79484,0.91465634,31.829056,3.3158941,101.04602
1.384789,20.369385,0.5246253,28.669687,0.7719321,49.11571,3.9067786,75.19652
0.47867078,19.41533,0.5246253,28.669687,1.7058197,63.511208,3.7112622,121.22898
0.7343166,17.637503,1.1474687,32.9255,1.0415382,68.54199,4.9745417,123.70681
0.80547786,17.641964,1.4641418,30.641293,1.1072075,42.511314,2.1943607,114.1841
1.0327212,32.604275,1.422878,30.456997,1.9952886,70.14016,2.0934656,114.308914
1.4923661,22.659576,1.4641418,30.641293,1.3058504,40.83866,1.486513,113.025314
1.2199692,24.78476,0.5053112,32.139206,1.3497869,40.494614,1.9409189,119.00315
1.5553404,22.67828,1.1646662,32.97569,1.5107396,42.987133,2.2060373,44.56174
,,2.2227013,37.08304,1.7198431,49.750526,1.4769639,51.386177
,,0.8254883,34.897152,1.7109195,35.314716,1.435908,115.35305
,,1.4677272,33.27021,1.2293116,69.90773,3.723243,52.986717
,,1.6438928,32.890842,1.1111727,67.530594,2.8266132,115.00429
,,1.508603,44.831776,1.0585195,65.3323,4.0250616,127.2312
,,3.3094103,82.45335,4.10949,101.9993,2.4328115,118.291115
,,3.772882,65.41738,3.7403107,92.868675,3.377802,129.35269
,,1.2662288,45.597008,3.3303585,82.80629,3.3604069,129.33633
,,0.35039762,47.952164,1.8758096,69.3427,2.7126012,124.661255
,,0.6645457,44.09649,1.6678133,70.467094,2.4788444,117.930435
,,0.6352064,44.171482,4.1550684,102.45421,1.2126759,118.252464
,,0.60404116,44.250687,3.403376,83.3338,2.9338155,109.58415
,,0.61983633,44.21055,1.8738109,69.816986,3.829251,100.57918
,,2.4229362,127.71926,2.6232765,128.1025,2.462682,72.66372
,,3.0214438,135.69829,4.5074024,98.04759,1.8783333,118.56636
,,0.5878521,44.29194,3.8206146,91.00729,1.7240448,112.52335
,,1.4203478,132.86832,3.141487,81.809044,1.7610463,106.65071
,,1.825764,56.34081,2.0198839,69.61998,2.5766306,101.80992
,,2.4528053,65.89467,2.6658428,128.22171,1.8481611,121.04042
,,2.0763493,66.66744,4.438018,98.455185,1.7578192,114.46061
,,1.3657368,57.95283,3.79116,91.41054,1.7610463,106.65071
,,1.7685446,68.092125,3.1574047,82.332886,1.3489182,100.45786
,,1.5220319,68.65112,3.7864883,93.291504,1.8774513,95.919556
,,1.0458828,46.329285,1.3014253,61.39907,1.2771603,92.21831
,,1.0458828,46.329285,1.1490778,59.048523,3.4849353,86.62566
,,1.4350854,45.04763,1.004819,56.721302,3.8672237,83.04742
,,0.7709444,46.15086,1.0117795,51.75072,4.6426163,78.2658
,,0.21633776,43.60317,1.1651564,42.895737,1.7144676,104.82051
,,1.4322501,44.93818,1.2175219,69.90575,2.1273463,122.89586
,,1.5362926,44.149563,1.1111727,67.530594,1.0155199,102.456314
,,1.694067,42.36871,1.0449106,65.31752,1.9779228,95.3983
,,1.0914903,48.23939,1.3014253,61.39907,1.7501107,112.60176
,,1.9408019,47.642277,1.1490778,59.048523,1.7589707,106.733505
,,1.7852709,46.802166,1.0117795,51.75072,1.4677733,101.52028
,,0.9718425,46.571938,1.1713136,42.963554,1.6450905,114.08335
,,1.4260979,39.47358,1.004819,56.721302,2.3948174,127.93034
,,1.8868359,41.233757,2.1236207,70.800156,0.61262923,45.779697
,,1.8855181,41.162167,2.607293,78.00876,0.5643704,41.61156
,,1.884322,41.090584,2.5749986,78.45308,1.6376541,47.617012
,,1.8832486,41.01901,2.5685737,78.89281,1.1387266,41.38031
,,1.0257148,47.969776,2.5895362,79.32523,2.3988712,47.305405
,,3.5589166,43.781796,0.98840266,136.64108,2.0666738,47.31301
,,3.0218701,42.311543,1.3289285,60.583595,1.2021554,43.473484
,,0.9693131,46.762806,2.2609797,138.74318,0.33322823,27.370243
,,0.87182164,46.34574,3.2525017,99.79582,1.0900276,23.800045
,,0.9626975,46.384724,3.063277,95.50685,0.92103213,41.040253
,,1.1913157,33.412437,2.9152598,91.380226,0.9368965,40.980534
,,1.3057591,36.586903,2.7975447,89.29931,0.95348924,40.92129
,,1.365419,40.61205,2.8060338,76.97383,0.9707881,40.862526
,,1.3284369,45.369404,2.2958195,138.51408,0.9990674,41.810047
,,2.0978582,71.20595,2.824762,92.50621,1.5457376,27.312344
,,1.1185572,24.743359,2.5793958,88.01515,1.8086219,32.531513
,,1.0270631,22.61298,2.405125,85.6025,1.6984206,39.797386
,,1.3011472,21.271744,2.3599694,72.39279,1.401344,49.47461
,,1.783887,22.127987,3.0061812,96.97424,1.7405434,42.358948
,,2.2379684,25.087551,1.0010681,43.66632,2.1288352,40.33302
,,2.7538784,29.36444,0.7859299,45.148796,2.3406615,48.274757
,,2.6184325,28.845242,1.1479957,47.416534,2.125683,117.640175
,,0.54447514,23.981659,1.6637306,45.68516,2.4287822,59.407623
,,0.5916749,26.029673,1.3289285,60.583595,1.5195085,49.90335
,,0.24664983,23.298346,1.6944493,55.146202,2.5998173,57.352345
,,2.1456554,38.391014,1.4181747,113.87594,1.834373,45.75375
,,1.5556296,32.228325,2.124833,57.256878,2.2728868,53.097748
,,0.8975556,29.029352,2.2710555,51.853546,1.5832919,25.514542
,,0.6585793,18.47147,2.0946133,55.76114,1.376709,45.095497
,,1.4208652,31.47203,0.95751345,50.13566,1.5843264,44.18327
,,0.31648403,24.794811,0.5805987,47.898643,1.541938,48.95201
,,1.4850736,39.24016,0.6518074,46.244843,1.9473574,59.711823
,,0.78434867,29.135015,1.4290749,42.994606,2.3753152,71.48375
,,1.6009425,38.00906,1.6357713,43.635826,2.533442,93.66245
,,0.34347576,24.587666,1.9801282,44.94877,2.646978,118.96185
,,0.3922212,24.848764,2.6377957,56.17732,1.3322998,36.9869
,,0.61533177,25.013103,1.1979413,52.48408,3.9330606,106.242004
,,0.63708395,24.859638,1.2937613,41.05238,2.284503,66.2987
,,1.1060376,31.095758,1.3881123,41.82937,1.5129329,49.471405
,,0.6290178,26.33042,1.4992679,41.22718,0.39725488,41.80642
,,0.63163066,23.745987,1.4184088,47.386127,0.5847739,23.419327
,,0.46623686,21.600784,0.62000734,46.99154,1.6065547,23.651787
,,0.4441007,19.89465,2.1712766,67.283104,1.2891353,24.104858
,,1.5343636,25.185535,1.9225854,55.158092,1.5554612,23.670324
,,0.6810168,15.297651,2.6214066,48.470398,0.676963,23.161327
,,0.66458154,18.470005,2.5415704,61.085583,1.6363289,23.326775
,,1.3688048,19.057133,1.6488984,64.837,1.3446007,23.876226
,,1.1532129,14.158478,0.605224,61.442436,1.570312,23.360987
,,0.7142683,13.696561,0.60831517,57.999084,1.1399642,22.96106
,,0.6940961,15.29133,0.85792875,51.30893,0.92295665,24.237309
,,0.8689472,15.16239,3.5244203,80.37158,0.87091786,24.275274
,,1.0133848,16.64935,1.3958696,47.926254,0.7579405,25.311762
,,2.107422,21.431713,1.9762187,40.558052,0.59522086,25.637823
,,2.7431836,29.791616,0.63507956,46.260754,0.7203958,25.64396
,,2.161429,62.49587,1.6610029,43.24421,0.556182,26.243296
,,0.65188146,15.580315,1.1951889,58.555836,1.1965536,28.065369
,,0.66009265,14.962013,1.7133003,44.80736,1.2116387,28.53255
,,0.80858314,14.9624,1.659808,44.133717,0.96285236,29.249887
,,0.73383385,14.901685,1.7380196,45.086437,1.1934431,28.81012
,,0.7114276,14.372091,1.8485651,44.414196,0.9671256,29.142788
,,0.7686416,14.367371,1.6912891,44.44417,1.8705771,23.325426
,,0.8198268,15.031817,1.6232529,44.56883,2.40992,25.12982
,,0.83465683,15.132063,1.7801795,44.791283,4.424436,44.524113
,,1.1011108,18.689716,1.709626,43.5552,3.4154606,42.195568
,,1.2203647,21.348309,1.4709617,39.168556,1.8817879,38.68297
,,1.9619288,22.18722,1.3533591,39.247833,1.7646177,20.68501
,,0.6720864,15.525545,1.3013618,39.325085,1.8089043,20.58067
,,1.4539478,28.961819,3.0448673,37.96333,2.0092711,45.011555
,,1.5180978,26.946335,1.9364201,36.791862,1.4591364,46.51523
,,0.3216595,26.531963,2.0006688,38.782627,3.540134,12.264424
,,1.1061273,33.814053,1.1607875,16.661066,0.5426503,19.64096
,,0.93765384,30.596142,0.85954356,19.037697,0.44082376,22.283554
,,0.6663098,23.778265,0.916117,19.406464,0.79931724,19.975422
,,0.9229802,25.520401,1.4873713,21.698063,0.7365336,22.231335
,,1.0073202,22.706793,0.5240681,20.158203,3.9556475,24.053713
,,1.336685,28.335484,2.37447,33.140873,3.101058,17.45895
,,2.4265518,32.21786,2.1270432,31.975946,1.213556,20.932682
,,1.7020897,25.571426,2.1730297,31.215464,2.0905128,25.596695
,,1.7251558,36.25266,2.2248306,30.708752,1.2744333,35.38227
,,1.022186,33.29201,1.3801942,37.548595,1.4698038,36.82255
,,1.0189767,30.784903,1.4094495,32.656242,0.48743105,27.820215
,,0.74699783,28.333591,1.1704566,43.014946,1.3536788,23.821316
,,0.4842666,26.879812,0.22727792,23.83251,0.48127988,27.75304
,,0.33280438,25.886637,2.2871683,25.64954,0.7758619,26.720318
,,0.8887074,19.83662,1.9123143,25.12191,1.4144968,20.082336
,,0.32235193,24.883663,0.17366587,25.159937,0.834116,22.352879
,,1.0660121,34.10926,1.1858512,22.549398,1.3969193,25.338842
,,0.86296785,30.650274,1.2567455,26.68447,0.85022897,22.398838
,,1.5360315,60.132862,0.12645827,20.779171,1.5014522,19.889471
,,2.5287497,102.98558,0.9699526,26.678211,1.1511729,19.618038
,,1.4609681,28.616146,1.1557767,29.935373,0.47301668,16.525843
,,2.3217638,38.750343,1.2821372,33.27204,0.4438384,16.854565
,,1.3542757,31.08012,0.90450674,42.709625,0.5448887,17.774694
,,1.5133016,27.837805,0.7009115,44.87426,0.53387463,19.212574
,,2.6030426,39.16741,1.3482223,73.720825,0.47201604,15.85914
,,0.6458507,28.367283,0.8537323,41.985676,1.2350547,34.57849
,,1.3351326,29.829105,0.88003445,24.895538,0.5499664,39.237617
,,0.9018933,26.564672,1.4228525,35.56245,0.75609356,18.361685
,,0.9023431,26.557384,0.95174116,34.7719,0.74052715,18.34335
,,0.35025108,26.29675,0.87102,34.39811,1.8785988,20.702095
,,0.7131554,28.583567,0.90921324,33.333675,0.572237,19.433445
,,0.8997038,29.239864,1.0122914,32.83525,0.55265826,19.387629
,,0.7865572,28.835978,1.5433178,31.06314,0.5350887,19.342464
,,4.0069275,46.72455,1.2686504,31.950205,1.4410409,18.992298
,,0.971528,29.531338,0.8343972,23.67497,1.5260098,23.890015
,,0.90777665,31.95487,1.142256,43.235573,1.4792793,20.890892
,,0.44301525,28.11506,1.121401,22.317942,1.4817244,21.26384
,,0.5077385,28.483753,1.2488686,34.857925,1.4709003,21.217093
,,0.8652908,29.28363,1.0118699,35.80564,1.3868561,21.783733
,,0.9915779,29.813839,1.1231111,30.597317,1.1840655,19.527973
,,0.8446888,28.28682,2.0987718,44.256683,1.2177964,19.437366
,,0.6805912,29.202871,1.0803901,42.910812,1.4579141,19.98595
