hist0_values,bar1_x,bar1_height,ref_line_value,ref_line_label
0.13580512894773467,0.017017225291797267,12.0,1.1355198132749083,
0.2205316311742056,0.03555023633859908,32.0,,
0.08163065374122569,0.054083247385400886,62.0,,
0.12343898086358784,0.0726162584322027,118.0,,
0.14841451402547445,0.0911492694790045,130.0,,
0.13616030283631808,0.10968228052580631,149.0,,
0.28419901069959597,0.1282152915726081,168.0,,
0.08043065950298778,0.1467483026194099,176.0,,
0.12589306457254512,0.16528131366621174,191.0,,
0.09889975390085715,0.1838143247130135,145.0,,
0.13109799114709797,0.20234733575981534,143.0,,
0.25388879102195805,0.22088034680661717,106.0,,
0.09673766935669081,0.23941335785341894,109.0,,
0.15343634081477941,0.25794636890022077,76.0,,
0.21834380970016887,0.27647937994702254,67.0,,
0.19472880936768644,0.29501239099382437,59.0,,
0.17731129367556075,0.3135454020406262,54.0,,
0.16893378364656453,0.332078413087428,32.0,,
0.13577837404261395,0.3506114241342298,38.0,,
0.15034744986210402,0.36914443518103157,30.0,,
0.16943311119208637,0.3876774462278334,24.0,,
0.13261007006294867,0.40621045727463523,13.0,,
0.1252586542021905,0.42474346832143706,17.0,,
0.19550119044569103,0.44327647936823883,10.0,,
0.30267983690340805,0.46180949041504066,4.0,,
0.30991487188267275,0.48034250146184243,8.0,,
0.051513874233170664,0.49887551250864426,6.0,,
0.227504086717777,0.5174085235554461,6.0,,
0.0623353411526304,0.5359415346022479,4.0,,
0.19861766237164957,0.5544745456490496,3.0,,
0.19014936503960156,0.5730075566958515,1.0,,
0.2277184212493104,0.5915405677426533,1.0,,
0.1356982745442168,0.6100735787894551,1.0,,
0.219693844003634,0.628606589836257,2.0,,
0.15132813229336506,0.6471396008830588,1.0,,
0.1869580400351636,0.6656726119298605,0.0,,
0.19028971927873894,0.6842056229766623,0.0,,
0.3350326966368584,0.7027386340234641,0.0,,
0.20655886970995074,0.721271645070266,0.0,,
0.09010095058513734,0.7398046561170677,2.0,,
0.15277249347800015,,,,
0.11942008487388556,,,,
0.2013018734768096,,,,
0.16470137638293325,,,,
0.29589793327542147,,,,
0.2300954170299172,,,,
0.14467647273041195,,,,
0.2433499337410181,,,,
0.06932042429098417,,,,
0.21070469305990958,,,,
0.2096794141711824,,,,
0.09272938170886547,,,,
0.2178740138181431,,,,
0.08224857585820833,,,,
0.1104493419111976,,,,
0.2953902129942676,,,,
0.11794099248638568,,,,
0.19245920069126699,,,,
0.09740632966079366,,,,
0.07576942352556815,,,,
0.23724887582587373,,,,
0.17538928642085994,,,,
0.5125857709993618,,,,
0.1636137303582874,,,,
0.143135075018761,,,,
0.15904914230975709,,,,
0.26610379581120236,,,,
0.2013641671810923,,,,
0.2820540456712326,,,,
0.06314922050867944,,,,
0.10448912656532183,,,,
0.09158859244154183,,,,
0.2376874064937211,,,,
0.2799232165276081,,,,
0.20693736811674568,,,,
0.16634549300537005,,,,
0.11367109197836633,,,,
0.07893054193185112,,,,
0.11131485706937494,,,,
0.19690511859731186,,,,
0.1569292380557965,,,,
0.37600236833298695,,,,
0.18804373067961389,,,,
0.16109096119333155,,,,
0.20391360704345018,,,,
0.09419227355540172,,,,
0.11247414766362884,,,,
0.16548843965090576,,,,
0.1047106918752998,,,,
0.06911554264269815,,,,
0.32050590726625217,,,,
0.16194052343193555,,,,
0.3453802091991116,,,,
0.07956613184790151,,,,
0.21548793376597364,,,,
0.062165556774090636,,,,
0.21096398832838292,,,,
0.2113162201898784,,,,
0.19553742519021555,,,,
0.11692182421490305,,,,
0.21591109188009716,,,,
0.23611535033969022,,,,
0.3135985748265644,,,,
0.25236679767982007,,,,
0.07806526096322641,,,,
0.12776879552612375,,,,
0.0950061878483146,,,,
0.15471414918027415,,,,
0.3100502448199355,,,,
0.270964431045582,,,,
0.3011202301089715,,,,
0.24721587802029488,,,,
0.05797602918596945,,,,
0.10104919598366569,,,,
0.15667282465271004,,,,
0.25543435101004075,,,,
0.05365457277288321,,,,
0.12837878066653619,,,,
0.32653363158816007,,,,
0.16260980961098337,,,,
