line0_x,line0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y,scatter4_x,scatter4_y
0.0,0.0,22.0,29.74278450012207,37.20000076293945,24.16051864624023,49.79999923706055,54.62979888916016,8.5,24.08047866821289
150.0,150.0,38.70000076293945,42.36273193359375,38.95000076293945,45.14087677001953,48.0,53.15718078613281,37.0,34.554359436035156
,,39.599998474121094,42.45849609375,36.0,15.465529441833496,41.29999923706055,48.69419479370117,45.599998474121094,42.94342803955078
,,34.400001525878906,35.18799591064453,40.0,28.03174591064453,36.79999923706055,44.74687194824219,40.29999923706055,46.727108001708984
,,40.0,42.45849609375,36.0,27.85692024230957,65.4000015258789,65.36709594726562,37.900001525878906,46.79517364501953
,,36.599998474121094,35.18799591064453,44.0,27.677759170532227,54.29999923706055,58.516944885253906,45.79999923706055,46.9620246887207
,,29.399999618530273,42.64928436279297,35.0,26.88034439086914,48.5,54.696990966796875,52.0,47.14845657348633
,,34.20000076293945,42.64928436279297,35.0,27.87878799438477,48.099998474121094,53.209930419921875,41.0,87.6903305053711
,,35.099998474121094,42.554012298583984,34.0,27.75371551513672,41.20000076293945,48.713722229003906,39.0,49.74464416503906
,,38.70000076293945,42.554012298583984,28.0,27.607526779174805,36.400001525878906,44.74829864501953,37.099998474121094,51.456031799316406
,,39.599998474121094,42.45849609375,27.0,35.365962982177734,69.0,66.12629699707031,35.79999923706055,48.746849060058594
,,40.0,42.45849609375,41.86000061035156,40.82184219360352,56.599998474121094,58.884883880615234,45.0,40.25726318359375
,,38.29999923706055,42.36273193359375,38.0,21.018972396850582,49.400001525878906,54.91458511352539,44.5,35.6166877746582
,,22.799999237060547,69.6585922241211,42.0,26.66187286376953,48.0,53.381004333496094,44.0,34.05724334716797
,,23.899999618530273,79.976318359375,40.0,26.84053421020508,41.099998474121094,48.779022216796875,48.0,37.02830505371094
,,24.0,113.12223052978516,52.0,14.953184127807615,36.400001525878906,44.75716018676758,36.0,44.31929016113281
,,24.100000381469727,24.591724395751953,39.0,14.441381454467772,55.70000076293945,58.40335464477539,38.0,38.80974578857422
,,23.5,49.37548828125,41.400001525878906,20.957027435302734,67.80000305175781,65.13262176513672,45.29999923706055,37.53729248046875
,,23.399999618530273,49.46455001831055,40.099998474121094,20.981107711791992,39.5,42.64276885986328,44.70000076293945,36.69476318359375
,,23.299999237060547,49.620025634765625,38.20000076293945,20.97789001464844,43.0,45.21026992797851,44.099998474121094,36.27302169799805
,,23.700000762939453,49.77727508544922,35.79999923706055,20.986919403076172,40.0,43.230560302734375,43.599998474121094,35.478206634521484
,,23.299999237060547,84.108642578125,33.900001525878906,21.009017944335938,40.0,41.943260192871094,46.0,47.46688079833984
