bar0_x,bar0_height,bar0_label,errorbar1_x,errorbar1_y,ref_line_value,ref_line_label
0,2.281403997400894,"Pb
(n=83)",0,2.281403997400894,1.0,
1,1.6575857889979435,"Ca
(n=344)",1,1.6575857889979435,,
2,1.1303562605062458,"La
(n=121)",2,1.1303562605062458,,
3,0.9062445898613923,"Sr
(n=159)",3,0.9062445898613923,,
4,0.6589788110454278,"Ba
(n=368)",4,0.6589788110454278,,
