bar0_x,bar0_height,bar1_x,bar1_height,bar2_x,bar2_height,bar3_x,bar3_height,bar4_x,bar4_height,ref_line_value,ref_line_label
0.855,0,0.855,0,0.855,0,0.855,0,0.855,0,0.985,
0.865,0,0.865,7,0.865,0,0.865,0,0.865,0,0.965,
0.875,0,0.875,8,0.875,0,0.875,0,0.875,0,,
0.885,0,0.885,11,0.885,0,0.885,0,0.885,0,,
0.895,0,0.895,17,0.895,9,0.895,0,0.895,0,,
0.905,0,0.905,1,0.905,14,0.905,0,0.905,0,,
0.915,0,0.915,14,0.915,26,0.915,0,0.915,0,,
0.925,0,0.925,41,0.925,23,0.925,4,0.925,0,,
0.935,0,0.935,59,0.935,9,0.935,5,0.935,2,,
0.9450000000000001,4,0.9450000000000001,62,0.9450000000000001,2,0.9450000000000001,19,0.9450000000000001,10,,
0.9550000000000001,11,0.9550000000000001,56,0.9550000000000001,12,0.9550000000000001,18,0.9550000000000001,12,,
0.9650000000000001,17,0.9650000000000001,82,0.9650000000000001,13,0.9650000000000001,14,0.9650000000000001,20,,
0.9750000000000001,34,0.9750000000000001,51,0.9750000000000001,20,0.9750000000000001,31,0.9750000000000001,42,,
0.9850000000000001,44,0.9850000000000001,4,0.9850000000000001,34,0.9850000000000001,18,0.9850000000000001,0,,
0.9950000000000001,33,0.9950000000000001,3,0.9950000000000001,11,0.9950000000000001,3,0.9950000000000001,0,,
1.0050000000000001,24,1.0050000000000001,0,1.0050000000000001,1,1.0050000000000001,13,1.0050000000000001,0,,
1.0150000000000001,20,1.0150000000000001,3,1.0150000000000001,5,1.0150000000000001,0,1.0150000000000001,0,,
1.0250000000000001,95,1.0250000000000001,0,1.0250000000000001,1,1.0250000000000001,0,1.0250000000000001,0,,
1.0350000000000001,59,1.0350000000000001,2,1.0350000000000001,0,1.0350000000000001,0,1.0350000000000001,0,,
1.0450000000000002,74,1.0450000000000002,0,1.0450000000000002,0,1.0450000000000002,0,1.0450000000000002,0,,
1.0550000000000002,21,1.0550000000000002,0,1.0550000000000002,0,1.0550000000000002,0,1.0550000000000002,0,,
1.0650000000000002,0,1.0650000000000002,0,1.0650000000000002,0,1.0650000000000002,0,1.0650000000000002,0,,
