y,width,label,ref_line_value,ref_line_label
0,95.82102156775856,Al,95.9928422983009,
1,95.8658667271054,Yb,,
2,96.37403784569156,Mg,,
3,96.98781461314208,Ni,,
4,97.33570558219287,La,,
5,98.1327152559802,Sm,,
6,98.25570273792835,Li,,
7,98.35655159592565,Nd,,
8,98.67738562140964,Ti,,
9,98.7259502518256,Pr,,
10,98.73348362213056,Ba,,
11,98.91221053543092,Ca,,
