x,height,ref_line_value,ref_line_label
1,0.9384459853172302,0.9456889867782593,Mean $R^2$ = 0.946
2,0.9354912638664246,,
3,0.9519574642181396,,
4,0.9576246738433838,,
5,0.9449255466461182,,
