iter	RMSE
0	26.26306234
1	25.29736715
2	24.51269329
3	23.66619333
4	22.89984762
5	22.11616037
6	21.4326365
7	20.74440479
8	20.09260279
9	19.46155841
10	18.86067951
11	18.29512966
12	17.79271989
13	17.25502621
14	16.71127601
15	16.26011123
16	15.84129629
17	15.41791578
18	14.94732212
19	14.56331063
20	14.15331195
21	13.77492933
22	13.4545626
23	13.11241126
24	12.80062543
25	12.46025534
26	12.15218547
27	11.87339669
28	11.60112049
29	11.34793573
30	11.12260445
31	10.88552122
32	10.67752221
33	10.43609174
34	10.25977725
35	10.05869297
36	9.859378657
37	9.681339956
38	9.528013601
39	9.350073987
40	9.203814228
41	9.040609448
42	8.901070534
43	8.770887812
44	8.633739052
45	8.48878995
46	8.346670375
47	8.219051967
48	8.105132513
49	7.983605706
50	7.880294264
51	7.761801455
52	7.670460428
53	7.553004121
54	7.476139376
55	7.398381769
56	7.328064358
57	7.25695964
58	7.171770852
59	7.108599022
60	7.042103227
61	6.967134174
62	6.923028761
63	6.849035747
64	6.772621901
65	6.711425075
66	6.636782264
67	6.584795771
68	6.544551476
69	6.497702092
70	6.446057669
71	6.386770936
72	6.34031696
73	6.276709047
74	6.237654229
75	6.185391887
76	6.144768042
77	6.102103017
78	6.057899381
79	6.012889256
80	5.981313425
81	5.927912869
82	5.895375539
83	5.855837804
84	5.814552446
85	5.775105311
86	5.735333426
87	5.708991119
88	5.66669911
89	5.630308994
90	5.590149456
91	5.555856186
92	5.534377996
93	5.50380252
94	5.478304084
95	5.451312049
96	5.429809735
97	5.406115912
98	5.38810165
99	5.363931439
100	5.331878585
101	5.312683621
102	5.283263565
103	5.26438015
104	5.238112194
105	5.208661836
106	5.192279941
107	5.167586647
108	5.133822019
109	5.115340209
110	5.094843297
111	5.079264286
112	5.054628055
113	5.031622665
114	5.001089528
115	4.97866729
116	4.958676358
117	4.93363896
118	4.914964331
119	4.893139123
120	4.87238519
121	4.856465941
122	4.833760501
123	4.805875882
124	4.788450639
125	4.769846072
126	4.750171483
127	4.737859814
128	4.719720988
129	4.707286174
130	4.695557334
131	4.676711935
132	4.659843153
133	4.63340329
134	4.617910798
135	4.605321722
136	4.587070848
137	4.565368601
138	4.551815094
139	4.537251024
140	4.520915004
141	4.502784731
142	4.487154311
143	4.469187582
144	4.440169577
145	4.432256755
146	4.414762361
147	4.400935825
148	4.384201646
149	4.364637356
150	4.350215661
151	4.337620307
152	4.322311401
153	4.302490091
154	4.288957816
155	4.26812871
156	4.251190408
157	4.245271725
158	4.222447912
159	4.204817517
160	4.189590364
161	4.184448216
162	4.175498266
163	4.16971447
164	4.16553588
165	4.161180888
166	4.150652861
167	4.144099187
168	4.140335794
169	4.137461906
170	4.113958805
171	4.099952511
172	4.093633901
173	4.088582037
174	4.084093274
175	4.06750159
176	4.0642724
177	4.059602029
178	4.044059452
179	4.034208898
180	4.031497728
181	4.016894714
182	4.012459044
183	3.997532775
184	3.994914984
185	3.976128846
186	3.96653528
187	3.950826498
188	3.94807619
189	3.944868972
190	3.926601622
191	3.910930873
192	3.908024655
193	3.905817082
194	3.884724425
195	3.870143115
196	3.867936284
197	3.855212915
198	3.842153013
199	3.840032865
200	3.837896643
201	3.835645269
202	3.81693212
203	3.805914429
204	3.78746975
205	3.768139014
206	3.749837327
207	3.746756941
208	3.727699366
209	3.725882521
210	3.708234531
211	3.695974458
212	3.684791881
213	3.670702821
214	3.662020919
215	3.647903144
216	3.633110943
217	3.613274519
218	3.604768045
219	3.588059027
220	3.577261096
221	3.565373915
222	3.554170219
223	3.551831175
224	3.537078962
225	3.525516934
226	3.507533401
227	3.499493044
228	3.485762913
229	3.475121014
230	3.460022136
231	3.447285168
232	3.432655307
233	3.428834981
