formula,sintering_temp_C,sintering_time_h,sintering_time_missing,crystal_system,phase_transition,epsilon_r
Ca0.66La0.34Ti0.66Ga0.34O3,1450-1540,3.0,0,orthorhombic,0,47.5
Ca0.64La0.36Ti0.64Ga0.36O3,1450-1540,3.0,0,orthorhombic,0,46.5
Ba2.5Sr0.5LaNb3O12,1390,4.0,1,hexagonal,0,41.86
Ca1Ti0.70Al0.15Ta0.15O3,1500,5.0,0,orthorhombic,0,65.6
CaLa4Ti4O15,1550,24.0,0,trigonal,0,41.1
Ba1Zn0.300Nb0.600Zr0.100O3,1400,4.0,0,cubic,0,38.0
Ba0.80Sr0.20Zn0.313Ta0.627Ti0.060O3,1400,4.0,0,hexagonal,0,42.0
Ba0.75Sr0.25Zn0.313Ta0.627Ti0.060O3,1400,4.0,0,hexagonal,0,40.0
Ba4LaTiNb3O15,1450,4.0,0,hexagonal,0,52.0
Ba4LaSnNb3O15,1480,4.0,0,hexagonal,0,39.0
Ca0.65Sm0.315Nd0.035Ti0.65Al0.35O3,1415,3.0,0,orthorhombic,0,39.7
Ca0.25Sm0.675Nd0.075Ti0.25Al0.75O3,1400,3.0,0,orthorhombic,0,22.74
Ca0.35Sm0.585Nd0.065Ti0.35Al0.65O3,1400,3.0,0,orthorhombic,0,25.84
Ca0.45Sm0.495Nd0.055Ti0.45Al0.55O3,1400,3.0,0,orthorhombic,0,29.38
Ca0.55Sm0.405Nd0.045Ti0.55Al0.45O3,1370,3.0,0,orthorhombic,0,32.85
Ca0.75Sm0.225Nd0.025Ti0.75Al0.25O3,1370,3.0,0,orthorhombic,0,50.21
Ca1Ti0.70Al0.15Ta0.15O3,1500,3.0,0,orthorhombic,0,65.5
Ca0.85Sm0.135Nd0.015Ti0.85Al0.15O3,1370,3.0,0,orthorhombic,0,69.2
Ba1Zn0.333Co0.000Nb0.667O3,1390,4.0,0,cubic,0,41.4
Ba1Zn0.267Co0.067Nb0.667O3,1410,4.0,0,cubic,0,40.1
Ba1Zn0.200Co0.133Nb0.667O3,1430,4.0,0,cubic,0,38.2
Ba1Zn0.133Co0.200Nb0.667O3,1430,4.0,0,cubic,0,35.8
Ba1Zn0.067Co0.267Nb0.667O3,1390,4.0,0,cubic,0,33.9
BaLa4Ti4O15,1600,2.0,0,trigonal,0,44.4
SrLa4Ti4O15,1550,48.0,0,trigonal,0,43.7
CaTi0.60Mg0.1333Nb0.2667O3,1400,4.0,0,orthorhombic,0,62.97
Ba3LaNb3O12,1380,4.0,1,hexagonal,0,44.8
Pb0.40Ca0.60Fe0.495Nb0.495Zr0.01O3,1200,3.0,0,orthorhombic,0,68.4
La1Al1O3,1500 or 1550,20.0,0,rhombohedral,0,22.0
La0.75Sr0.25Al0.75Ti0.25O3,1500 or 1550,20.5,0,rhombohedral,0,26.0
La0.55Sr0.45Al0.55Ti0.45O3,1500 or 1550,21.0,0,rhombohedral,0,29.0
La0.50Sr0.50Al0.50Ti0.50O3,1500 or 1550,21.5,0,rhombohedral,0,33.0
La0.45Sr0.55Al0.45Ti0.55O3,1500 or 1550,22.0,0,rhombohedral,0,34.0
La0.40Sr0.60Al0.40Ti0.60O3,1500 or 1550,22.5,0,rhombohedral,0,39.0
La0.25Sr0.75Al0.25Ti0.75O3,1500 or 1550,23.0,0,rhombohedral,0,46.0
Ba0.99Zn0.10Co0.2333Nb0.6667O3,1450,10.0,0,cubic,0,33.7
Ba0.993La0.0067Zn0.10Co0.2333Nb0.6667O3,1425,10.0,0,cubic,0,34.0
La1Zn0.5Ti0.5O3,1550,2.0,0,cubic,0,34.0
Ba5Ta4O15,1550,4.0,0,hexagonal,0,30.2
Ba4Sr1Ta4O15,1575,4.0,0,hexagonal,0,32.9
Ba3Sr2Ta4O15,1575,4.0,0,hexagonal,0,34.3
Ba2Sr3Ta4O15,1600,4.0,0,hexagonal,0,35.2
Ba1Sr4Ta4O15,1600,4.0,0,hexagonal,0,33.2
Sr5Ta4O15,1610,4.0,0,hexagonal,0,43.5
Ba5Nb1Ta3O15,1500,4.0,0,hexagonal,0,31.7
Ba5Nb2Ta2O15,1475,4.0,0,hexagonal,0,34.2
Ba5Nb3Ta1O15,1435,4.0,0,hexagonal,0,37.2
Ba5Nb4O15,1380,4.0,0,hexagonal,0,42.0
Li0.774Zr0.057NbO3,1150,1.0,0,orthorhombic,0,30.97
Li0.774Zr0.057NbO3,1150,1.0,0,orthorhombic,0,38.66
Li0.774Zr0.057NbO3,115,1.0,0,orthorhombic,0,27.75
